tier_slug,tier_label,sku,name,brand,vintage,country,region,classification,price_thb,search_query,found_score,critics_found,source_domains,page_class,notes
famous_wine_high_price,Wine (>= 5000 THB),AWC0041DY,Temptech  Collection Classic Single Zone 7 Bottle (Black),Temptech,,Norway,,Wine product,38520.0,Temptech Temptech  Collection Classic Single Zone 7 Bottle (Black),,,,,
famous_wine_high_price,Wine (>= 5000 THB),WWW5438FC,Louis Latour  Puligny-Montrachet,Louis Latour,2022 [**VINTAGE MAY CHANGE],France,Burgundy,White Wine,5000.0,Louis Latour Louis Latour  Puligny-Montrachet 2022 [**VINTAGE MAY CHANGE],,,,,
famous_wine_high_price,Wine (>= 5000 THB),WRW0520AA,Parker  First Growth,Parker,2006,Australia,Coonawarra,Red Wine,5190.0,Parker Parker  First Growth 2006,,,,,
famous_wine_high_price,Wine (>= 5000 THB),WRW5400BN,Chateau Clinet  2014,Chateau Clinet,2014,France,Bordeaux,Red Wine,8499.0,Chateau Clinet Chateau Clinet  2014 2014,,,,,
famous_wine_high_price,Wine (>= 5000 THB),WRS0250DJ,"Domaine Sylvain Pataille Marsannay ""Fleur de Pinot"" Rose",Domaine Sylvain Pataille,2021,France,Burgundy,Rose Wine,6100.0,"Domaine Sylvain Pataille Domaine Sylvain Pataille Marsannay ""Fleur de Pinot"" Rose 2021",,,,,
famous_wine_high_price,Wine (>= 5000 THB),WRW6884GW,Tenuta Moraia Apricaia Toscana I.G.T.,Tenuta Moraia,2019,Italy,Tuscany,Red Wine,5990.0,Tenuta Moraia Tenuta Moraia Apricaia Toscana I.G.T. 2019,,,,,
famous_wine_high_price,Wine (>= 5000 THB),AWC0076EJ,Dometic Macave  S Series Dual Temp Zone S17G (Glass Door),Dometic,,Sweden,,Wine product,31210.0,Dometic Dometic Macave  S Series Dual Temp Zone S17G (Glass Door),,,,,
famous_wine_high_price,Wine (>= 5000 THB),LBD0133AJ,J. Dupont Cognac  Grande Champagne XO Art Deco (700 ml),J. Dupont,,France,Cognac,Wine product,10100.0,J. Dupont J. Dupont Cognac  Grande Champagne XO Art Deco (700 ml),,,,,
mid_wine,Wine (1500-4999 THB),WRW3838AF,"Delas  Gigondas ""Les Reinages""",Delas,2015 [**VINTAGE MAY CHANGE],France,Rhône Valley,Red Wine,2800.0,"Delas Delas  Gigondas ""Les Reinages"" 2015 [**VINTAGE MAY CHANGE]",,,,,
mid_wine,Wine (1500-4999 THB),WWW5345FP,Balthasar Ress  Rudesheim Berg Rottland Riesling Spatlese,Balthasar Ress,2001,Germany,Rheingau,White Wine,3195.0,Balthasar Ress Balthasar Ress  Rudesheim Berg Rottland Riesling Spatlese 2001,,,,,
mid_wine,Wine (1500-4999 THB),WRW5051AJ,G.D. Vajra  Barolo Bricco delle Viole DOCG,G.D. Vajra,2019 [**VINTAGE MAY CHANGE],Italy,Piedmont,Red Wine,4500.0,G.D. Vajra G.D. Vajra  Barolo Bricco delle Viole DOCG 2019 [**VINTAGE MAY CHANGE],,,,,
mid_wine,Wine (1500-4999 THB),WRW5942GE,2:am  Shiraz Barossa Valley,2:am,2019 [**VINTAGE MAY CHANGE],Australia,South Australia,Red Wine,3200.0,2:am 2:am  Shiraz Barossa Valley 2019 [**VINTAGE MAY CHANGE],,,,,
mid_wine,Wine (1500-4999 THB),WRW3333AF,"Silverado Vineyards  MT. George Vineyard Merlot ""Napa Valley""",Silverado Vineyards,2009,USA,California,Red Wine,3199.0,"Silverado Vineyards Silverado Vineyards  MT. George Vineyard Merlot ""Napa Valley"" 2009",,,,,
mid_wine,Wine (1500-4999 THB),WRW6377AE,Poggio Al Lupo  Cabernet Sauvignon,Poggio Al Lupo,2021 [**VINTAGE MAY CHANGE],Italy,Tuscany,Red Wine,2360.0,Poggio Al Lupo Poggio Al Lupo  Cabernet Sauvignon 2021 [**VINTAGE MAY CHANGE],,,,,
mid_wine,Wine (1500-4999 THB),WRW4234AA,Villa Cavarena by Allegrini  Amarone Della Valpolicella,Allegrini,2016,Italy,Veneto,Red Wine,1900.0,Allegrini Villa Cavarena by Allegrini  Amarone Della Valpolicella 2016,,,,,
mid_wine,Wine (1500-4999 THB),WRW6123FP,Juris  Pinot Noir Reserve,Juris,2018,Austria,Burgenland,Red Wine,2295.0,Juris Juris  Pinot Noir Reserve 2018,,,,,
mid_wine,Wine (1500-4999 THB),WWW5488DJ,Domaines Albert Bichot  Saint-Veran,Albert Bichot,2021 [**VINTAGE MAY CHANGE],France,Burgundy,White Wine,2300.0,Albert Bichot Domaines Albert Bichot  Saint-Veran 2021 [**VINTAGE MAY CHANGE],,,,,
mid_wine,Wine (1500-4999 THB),WRW2151AC,Domaine Georg Rafael  Cabernet Sauvignon,Domaine Georg Rafael,2011,USA,California,Red Wine,2870.0,Domaine Georg Rafael Domaine Georg Rafael  Cabernet Sauvignon 2011,,,,,
mainstream_wine,Wine (500-1499 THB),WRW4673AD,Wolf Blass  Blass Reserve Cabernet Sauvignon,Wolf Blass,Current vintage,Australia,South Australia,Red Wine,969.0,Wolf Blass Wolf Blass  Blass Reserve Cabernet Sauvignon,,,,,
mainstream_wine,Wine (500-1499 THB),LWH0632AF,Glen Moray  Classic Sherry Cask Finish Single Malt Whisky (700 ml),Glen Moray,,Scotland,Speyside,Wine product,1300.0,Glen Moray Glen Moray  Classic Sherry Cask Finish Single Malt Whisky (700 ml),,,,,
mainstream_wine,Wine (500-1499 THB),WRW6540GV,Marchile Cabernet Sauvignon,Marchile,Current vintage,Chile,Maule Valley,Red Wine,599.0,Marchile Marchile Cabernet Sauvignon,,,,,
mainstream_wine,Wine (500-1499 THB),WWW1058AF,La Campagne  Sauvignon Blanc,La Campagne,Current vintage,France,Languedoc-Roussillon,White Wine,900.0,La Campagne La Campagne  Sauvignon Blanc,,,,,
mainstream_wine,Wine (500-1499 THB),WWW5403AE,Framingham  True Nature Sauvignon Blanc,Framingham,CURRENT VINTAGE,New Zealand,Marlborough,White Wine,1330.0,Framingham Framingham  True Nature Sauvignon Blanc CURRENT VINTAGE,,,,,
mainstream_wine,Wine (500-1499 THB),WWW0202AD,Domaine Laroche  Chablis Les Chanoines AOC,Domaine Laroche,Current vintage,France,Burgundy,White Wine,1199.0,Domaine Laroche Domaine Laroche  Chablis Les Chanoines AOC,,,,,
mainstream_wine,Wine (500-1499 THB),WSP2493DH,Maison Jaillance  Clairette de Die Brut Bio (Organic),Jaillance,Current vintage,France,Bordeaux,Sparkling Wine,1010.0,Jaillance Maison Jaillance  Clairette de Die Brut Bio (Organic),,,,,
mainstream_wine,Wine (500-1499 THB),WRW5758AB,Cabriz  Cohleita Dao (Organic),Cabriz,Current vintage,Portugal,Dão,Red Wine,700.0,Cabriz Cabriz  Cohleita Dao (Organic),,,,,
budget_wine,Wine (< 500 THB),WSP2496BS,Bottega  Spumante Rose Gold Brut (200 ml),Bottega,N/V,Italy,Veneto,Sparkling Wine,400.0,Bottega Bottega  Spumante Rose Gold Brut (200 ml) N/V,,,,,
budget_wine,Wine (< 500 THB),ABA0702FW,The 4 Barmen  Metal Cocktail Pick (Rose Gold),The 4 Barmen,,Malaysia,,Wine product,40.0,The 4 Barmen The 4 Barmen  Metal Cocktail Pick (Rose Gold),,,,,
budget_wine,Wine (< 500 THB),WRW3219AC,Signus  Classic Red Blend (Cabernet Sauvignon) (Fruit wine blend),Signus,Current vintage,Chile,Central Valley,Fruit Wine,399.0,Signus Signus  Classic Red Blend (Cabernet Sauvignon) (Fruit wine blend),,,,,
budget_wine,Wine (< 500 THB),NNA0070AA,Monin  Pineapple (700 ml),Monin,,France,,Wine product,419.0,Monin Monin  Pineapple (700 ml),,,,,
budget_wine,Wine (< 500 THB),ABA0688FW,The 4 Barmen  Modern Calabrese Strainer (Mirrored Bronze),The 4 Barmen,,Malaysia,,Wine product,450.0,The 4 Barmen The 4 Barmen  Modern Calabrese Strainer (Mirrored Bronze),,,,,
champagne,Champagne / Sparkling,WSP5755FU,Tenuta Baron  Spumante Eden Brut,Tenuta Baron,NV,Italy,Veneto,Sparkling Wine,890.0,Tenuta Baron Tenuta Baron  Spumante Eden Brut NV,,,,,
champagne,Champagne / Sparkling,WSP2621CN,Cinzano  Asti DOCG,Cinzano,N/V,Italy,Piedmont,Sparkling Wine,749.0,Cinzano Cinzano  Asti DOCG N/V,,,,,
champagne,Champagne / Sparkling,WSP1341DN,Charles Dufour  Le Champs du Clos Pinot Blanc Brut Nature,Charles Dufour,N/V,France,Champagne,Champagne,3379.0,Charles Dufour Charles Dufour  Le Champs du Clos Pinot Blanc Brut Nature N/V,,,,,
champagne,Champagne / Sparkling,WSP1174CB,Veuve Olivier  Brut,Veuve Olivier,N/V,France,Champagne,Sparkling Wine,799.0,Veuve Olivier Veuve Olivier  Brut N/V,,,,,
champagne,Champagne / Sparkling,WSP0087AA,Cantine Pellegrino  Duca Di Castelmonte Prosecco DOC,Cantine Pellegrino,N/V,Italy,Veneto,Sparkling Wine,750.0,Cantine Pellegrino Cantine Pellegrino  Duca Di Castelmonte Prosecco DOC N/V,,,,,
whisky,Whisky,LWH1205DG,Mackintosh Blended Malt Scotch (750 ml),Mackintosh,NV,Scotland,Speyside,Whisky,2229.0,Mackintosh Mackintosh Blended Malt Scotch (750 ml) NV,,,,,
whisky,Whisky,LWH0278AA,Maker's 46 (750 ml),Maker's Mark,NV,USA,Kentucky,Whisky,3559.0,Maker's Mark Maker's 46 (750 ml) NV,,,,,
whisky,Whisky,LWH0008AA,Glenfiddich  30 Years Old (700 ml),Glenfiddich,NV,Scotland,Speyside,Whisky,51500.0,Glenfiddich Glenfiddich  30 Years Old (700 ml) NV,,,,,
