sku,subregion,enrichment_source,enrichment_note
WRW3191AD,Manduria,subregion_taxonomy_exact_match_batch,subregion: Manduria (exact name match within product title; taxonomy parent region aligns with current region Puglia) - GA rank #5 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion
WRW5191AA,Etna,subregion_taxonomy_exact_match_batch,subregion: Etna (exact name match within product title; taxonomy parent region aligns with current region Sicily) - subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion
WRW6213AD,Gimblett Gravels,subregion_taxonomy_exact_match_batch,subregion: Gimblett Gravels (exact name match within product title; taxonomy parent region aligns with current region Hawke's Bay) - subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion
WRW6368FC,Eden Valley,subregion_taxonomy_exact_match_batch,subregion: Eden Valley (exact name match within product title; taxonomy parent region aligns with current region South Australia) - subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion
WRS0198BS,Salento,subregion_taxonomy_exact_match_batch,subregion: Salento (exact name match within product title; taxonomy parent region aligns with current region Puglia) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRS0241AE,Etna,subregion_taxonomy_exact_match_batch,subregion: Etna (exact name match within product title; taxonomy parent region aligns with current region Sicily) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW0607AA,Alto Adige,subregion_taxonomy_exact_match_batch,subregion: Alto Adige (exact name match within product title; taxonomy parent region aligns with current region Trentino-Alto Adige) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW0671AD,Gimblett Gravels,subregion_taxonomy_exact_match_batch,subregion: Gimblett Gravels (exact name match within product title; taxonomy parent region aligns with current region Hawke's Bay) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW1819AE,Etna,subregion_taxonomy_exact_match_batch,subregion: Etna (exact name match within product title; taxonomy parent region aligns with current region Sicily) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW3008BN,Bannockburn,subregion_taxonomy_exact_match_batch,subregion: Bannockburn (exact name match within product title; taxonomy parent region aligns with current region Central Otago) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW3192AD,Manduria,subregion_taxonomy_exact_match_batch,subregion: Manduria (exact name match within product title; taxonomy parent region aligns with current region Puglia) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW3233BS,Salento,subregion_taxonomy_exact_match_batch,subregion: Salento (exact name match within product title; taxonomy parent region aligns with current region Puglia) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW3236BS,Manduria,subregion_taxonomy_exact_match_batch,subregion: Manduria (exact name match within product title; taxonomy parent region aligns with current region Puglia) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW3555DH,Monferrato,subregion_taxonomy_exact_match_batch,subregion: Monferrato (exact name match within product title; taxonomy parent region aligns with current region Piedmont) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW3563AA,Etna,subregion_taxonomy_exact_match_batch,subregion: Etna (exact name match within product title; taxonomy parent region aligns with current region Sicily) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW3564AA,Etna,subregion_taxonomy_exact_match_batch,subregion: Etna (exact name match within product title; taxonomy parent region aligns with current region Sicily) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW3565AA,Etna,subregion_taxonomy_exact_match_batch,subregion: Etna (exact name match within product title; taxonomy parent region aligns with current region Sicily) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW4843AA,Monferrato,subregion_taxonomy_exact_match_batch,subregion: Monferrato (exact name match within product title; taxonomy parent region aligns with current region Piedmont) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW4848AA,Collio,subregion_taxonomy_exact_match_batch,subregion: Collio (exact name match within product title; taxonomy parent region aligns with current region Friuli-Venezia Giulia) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW4850AA,Collio,subregion_taxonomy_exact_match_batch,subregion: Collio (exact name match within product title; taxonomy parent region aligns with current region Friuli-Venezia Giulia) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW5189AA,Etna,subregion_taxonomy_exact_match_batch,subregion: Etna (exact name match within product title; taxonomy parent region aligns with current region Sicily) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW5190AA,Etna,subregion_taxonomy_exact_match_batch,subregion: Etna (exact name match within product title; taxonomy parent region aligns with current region Sicily) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW5209BS,Montefalco,subregion_taxonomy_exact_match_batch,subregion: Montefalco (exact name match within product title; taxonomy parent region aligns with current region Umbria) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW5745FS,Manduria,subregion_taxonomy_exact_match_batch,subregion: Manduria (exact name match within product title; taxonomy parent region aligns with current region Puglia) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
WRW5787DD,Manduria,subregion_taxonomy_exact_match_batch,subregion: Manduria (exact name match within product title; taxonomy parent region aligns with current region Puglia) - subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion
