trend_rank,site,trend_type,reference_name,page_path,pageviews,users,suggested_app_entity_type,suggested_app_entity_name,trend_score,trend_band,trend_note
1,Wine-Now,category,Red Wine Category,/wine/red-wine.html,1577,518,classification,Red Wine Category,1848.66,critical,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
2,Wine-Now,hub,Wine Category,/wine.html,1336,491,navigation_hub,Wine Category,1434.2,critical,Core browse hub with strong navigational demand. This should be mapped into app taxonomy deliberately rather than copied directly.
3,Wine-Now,hub,All brands,/brands,426,254,navigation_hub,All brands,476.8,critical,Core browse hub with strong navigational demand. This should be mapped into app taxonomy deliberately rather than copied directly.
4,Wine-Now,category,White Wine Category,/wine/white-wine.html,395,141,classification,White Wine Category,465.52,critical,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
5,Wine-Now,collection,Best Sellers Right Now,/recommend/special-of-the-week.html,338,188,collection_theme,Best Sellers Right Now,375.6,critical,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.
6,LIQ9,category,Single Malt Whisky Category,/whisky/the-single-malt-whisky.html,262,47,classification,Single Malt Whisky Category,298.54,critical,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
7,Wine-Now,category,Sparkling Wine Category,/wine/sparkling-wine.html,232,103,classification,Sparkling Wine Category,277.86,critical,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
8,Wine-Now,category,Champagne Category,/wine/champagne-wine.html,224,110,classification,Champagne Category,270.6,critical,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
9,LIQ9,category,Brandy Category,/liquor/brandy.html,216,45,classification,Brandy Category,247.5,critical,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
10,LIQ9,collection,Special of the Month,/recommend/special-of-the-month-liq9.html,197,30,collection_theme,Special of the Month,203.0,critical,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.
11,Wine-Now,brand_hub,Penfolds Brand Page,/penfolds,165,95,brand,Penfolds,184.0,high,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
12,Wine-Now,collection,Trending items,/recommend/trending-items.html,167,83,collection_theme,Trending items,183.6,high,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.
13,LIQ9,category,Scotch Whisky Category,/whisky/scotch-whisky.html,157,34,classification,Scotch Whisky Category,180.18,high,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
14,Wine-Now,collection,Value Pack,/recommend/value-pack.html,157,94,collection_theme,Value Pack,175.8,high,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.
15,Wine-Now,collection,Non-Alcoholic Collection,/wine-now-selection/non-alcoholic.html,153,99,collection_theme,Non-Alcoholic Collection,172.8,high,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.
16,LIQ9,category,Japanese Whisky Category,/whisky/japanese-whisky.html,149,38,classification,Japanese Whisky Category,172.26,high,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
17,LIQ9,hub,Liquor Category,/liquor.html,157,45,navigation_hub,Liquor Category,166.0,high,Core browse hub with strong navigational demand. This should be mapped into app taxonomy deliberately rather than copied directly.
18,Wine-Now,collection,Bordeaux Trio Set,/recommend/bordeaux-trio-set.html,146,68,collection_theme,Bordeaux Trio Set,159.6,high,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.
19,Wine-Now,collection,Gift Box,/recommend/gift-box.html,139,83,collection_theme,Gift Box,155.6,high,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.
20,Wine-Now,brand_hub,Robert Mondavi Brand Page,/robert_mondavi,139,76,brand,Robert Mondavi,154.2,high,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
21,Wine-Now,category,Rose Wine Category,/wine/rose-wine.html,124,65,classification,Rose Wine Category,150.7,high,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
22,Wine-Now,brand_hub,Granmonte Brand Page,/granmonte,129,79,brand,Granmonte,144.8,high,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
23,LIQ9,category,American Whiskey Category,/whisky/american-whiskey.html,123,43,classification,American Whiskey Category,144.76,high,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
24,Wine-Now,brand_hub,Veuve Clicquot Brand Page,/veuve_clicquot,106,80,brand,Veuve Clicquot,122.0,high,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
25,Wine-Now,brand_hub,Chateau Mouton Rothschild Brand Page,/chateau_mouton_rothschild,105,75,brand,Chateau Mouton Rothschild,120.0,high,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
26,LIQ9,category,Gin Category,/liquor/gin.html,98,29,classification,Gin Category,114.18,high,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.
27,Wine-Now,brand_hub,Opus One Brand Page,/opus_one,98,67,brand,Opus One,111.4,high,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
28,Wine-Now,collection,Riedel Sommeliers Black Series Special Edition,/wine-now-selection/riedel-sommeliers-black-series-special-edition.html,89,63,collection_theme,Riedel Sommeliers Black Series Special Edition,101.6,high,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.
29,Wine-Now,collection,Curated Wine Selections,/all-feature-selection,93,26,collection_theme,Curated Wine Selections,98.2,medium,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.
30,Wine-Now,brand_hub,Moet & Chandon Brand Page,/moet_chandon,84,64,brand,Moet & Chandon,96.8,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
31,Wine-Now,brand_hub,Monsoon Valley Brand Page,/monsoon_valley,83,50,brand,Monsoon Valley,93.0,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.
