site,signal_scope,website_surface_type,website_surface_name,page_path,pageviews,users,suggested_app_entity_type,suggested_app_entity_name,app_mapping_status,priority_score,priority_band,priority_reason,priority_rank
Wine-Now,website_information_architecture,category,Red Wine Category,/wine/red-wine.html,1577,518,classification,Red Wine Category,needs_mapping,1848.66,critical,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,1
Wine-Now,website_information_architecture,hub,Wine Category,/wine.html,1336,491,navigation_hub,Wine Category,needs_mapping,1434.2,critical,Core browse hub with strong navigational demand. This should be mapped into app taxonomy deliberately rather than copied directly.,2
Wine-Now,website_information_architecture,hub,All brands,/brands,426,254,navigation_hub,All brands,needs_mapping,476.8,critical,Core browse hub with strong navigational demand. This should be mapped into app taxonomy deliberately rather than copied directly.,3
Wine-Now,website_information_architecture,category,White Wine Category,/wine/white-wine.html,395,141,classification,White Wine Category,needs_mapping,465.52,critical,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,4
Wine-Now,website_information_architecture,collection,Best Sellers Right Now,/recommend/special-of-the-week.html,338,188,collection_theme,Best Sellers Right Now,needs_mapping,375.6,critical,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.,5
LIQ9,website_information_architecture,category,Single Malt Whisky Category,/whisky/the-single-malt-whisky.html,262,47,classification,Single Malt Whisky Category,needs_mapping,298.54,critical,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,6
Wine-Now,website_information_architecture,category,Sparkling Wine Category,/wine/sparkling-wine.html,232,103,classification,Sparkling Wine Category,needs_mapping,277.86,critical,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,7
Wine-Now,website_information_architecture,category,Champagne Category,/wine/champagne-wine.html,224,110,classification,Champagne Category,needs_mapping,270.6,critical,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,8
LIQ9,website_information_architecture,category,Brandy Category,/liquor/brandy.html,216,45,classification,Brandy Category,needs_mapping,247.5,critical,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,9
LIQ9,website_information_architecture,collection,Special of the Month,/recommend/special-of-the-month-liq9.html,197,30,collection_theme,Special of the Month,needs_mapping,203.0,critical,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.,10
Wine-Now,website_information_architecture,brand_hub,Penfolds Brand Page,/penfolds,165,95,brand,Penfolds,needs_mapping,184.0,high,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,11
Wine-Now,website_information_architecture,collection,Trending items,/recommend/trending-items.html,167,83,collection_theme,Trending items,needs_mapping,183.6,high,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.,12
LIQ9,website_information_architecture,category,Scotch Whisky Category,/whisky/scotch-whisky.html,157,34,classification,Scotch Whisky Category,needs_mapping,180.18,high,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,13
Wine-Now,website_information_architecture,collection,Value Pack,/recommend/value-pack.html,157,94,collection_theme,Value Pack,needs_mapping,175.8,high,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.,14
Wine-Now,website_information_architecture,collection,Non-Alcoholic Collection,/wine-now-selection/non-alcoholic.html,153,99,collection_theme,Non-Alcoholic Collection,needs_mapping,172.8,high,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.,15
LIQ9,website_information_architecture,category,Japanese Whisky Category,/whisky/japanese-whisky.html,149,38,classification,Japanese Whisky Category,needs_mapping,172.26,high,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,16
LIQ9,website_information_architecture,hub,Liquor Category,/liquor.html,157,45,navigation_hub,Liquor Category,needs_mapping,166.0,high,Core browse hub with strong navigational demand. This should be mapped into app taxonomy deliberately rather than copied directly.,17
Wine-Now,website_information_architecture,collection,Bordeaux Trio Set,/recommend/bordeaux-trio-set.html,146,68,collection_theme,Bordeaux Trio Set,needs_mapping,159.6,high,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.,18
Wine-Now,website_information_architecture,collection,Gift Box,/recommend/gift-box.html,139,83,collection_theme,Gift Box,needs_mapping,155.6,high,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.,19
Wine-Now,website_information_architecture,brand_hub,Robert Mondavi Brand Page,/robert_mondavi,139,76,brand,Robert Mondavi,needs_mapping,154.2,high,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,20
Wine-Now,website_information_architecture,category,Rose Wine Category,/wine/rose-wine.html,124,65,classification,Rose Wine Category,needs_mapping,150.7,high,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,21
Wine-Now,website_information_architecture,brand_hub,Granmonte Brand Page,/granmonte,129,79,brand,Granmonte,needs_mapping,144.8,high,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,22
LIQ9,website_information_architecture,category,American Whiskey Category,/whisky/american-whiskey.html,123,43,classification,American Whiskey Category,needs_mapping,144.76,high,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,23
Wine-Now,website_information_architecture,brand_hub,Veuve Clicquot Brand Page,/veuve_clicquot,106,80,brand,Veuve Clicquot,needs_mapping,122.0,high,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,24
Wine-Now,website_information_architecture,brand_hub,Chateau Mouton Rothschild Brand Page,/chateau_mouton_rothschild,105,75,brand,Chateau Mouton Rothschild,needs_mapping,120.0,high,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,25
LIQ9,website_information_architecture,category,Gin Category,/liquor/gin.html,98,29,classification,Gin Category,needs_mapping,114.18,high,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,26
Wine-Now,website_information_architecture,brand_hub,Opus One Brand Page,/opus_one,98,67,brand,Opus One,needs_mapping,111.4,high,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,27
Wine-Now,website_information_architecture,collection,Riedel Sommeliers Black Series Special Edition,/wine-now-selection/riedel-sommeliers-black-series-special-edition.html,89,63,collection_theme,Riedel Sommeliers Black Series Special Edition,needs_mapping,101.6,high,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.,28
Wine-Now,website_information_architecture,collection,Curated Wine Selections,/all-feature-selection,93,26,collection_theme,Curated Wine Selections,needs_mapping,98.2,medium,Useful for seasonal landing copy and curated collection merchandising. This should be mapped into app taxonomy deliberately rather than copied directly.,29
Wine-Now,website_information_architecture,brand_hub,Moet & Chandon Brand Page,/moet_chandon,84,64,brand,Moet & Chandon,needs_mapping,96.8,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,30
Wine-Now,website_information_architecture,brand_hub,Monsoon Valley Brand Page,/monsoon_valley,83,50,brand,Monsoon Valley,needs_mapping,93.0,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,31
Wine-Now,website_information_architecture,brand_hub,Chateau de la Vieille Tour Brand Page,/chateau_de_la_vieille_tour,77,55,brand,Chateau de la Vieille Tour,needs_mapping,88.0,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,32
LIQ9,website_information_architecture,category,Rum Category,/liquor/rum.html,76,19,classification,Rum Category,needs_mapping,87.78,medium,Category demand signal suitable for taxonomy and landing-page copy. This should be mapped into app taxonomy deliberately rather than copied directly.,33
LIQ9,website_information_architecture,brand_hub,Inchon Brand Page,/inchon,74,62,brand,Inchon,needs_mapping,86.4,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,34
Wine-Now,website_information_architecture,brand_hub,Ruinart Brand Page,/ruinart,75,53,brand,Ruinart,needs_mapping,85.6,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,35
Wine-Now,website_information_architecture,brand_hub,Donnafugata Brand Page,/donnafugata,73,57,brand,Donnafugata,needs_mapping,84.4,medium,Useful for brand landing page copy and brand-priority sequencing. This should be mapped into app taxonomy deliberately rather than copied directly.,36
LIQ9,website_information_architecture,hub,All brands,/brands,74,41,navigation_hub,All brands,needs_mapping,82.2,medium,Core browse hub with strong navigational demand. This should be mapped into app taxonomy deliberately rather than copied directly.,37
