id,sku,name,queue_priority,enrichment_priority,validation_status,enrichment_source,enrichment_note,priority_band,ga_brand_rank,ga_taxonomy_rank
row-5124-1774263062980,LOT0071AR,Komasa Jyozo  Akazaru Sparkling (300 ml),90,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; repeated producer (6 SKUs); appears in 3 task queues; strong producer reuse; high-frequency country,publish_fast_lane,,
row-3073-1774263062966,WSP5665AA,Penfolds  Champagne Rose Thienot x Penfolds,89,2,needs_review,codex_fast_lane,Codex queue band: ga_brand_cluster | GA brand rank: 1 | Why now: live Product Engine record; top GA brand rank #1; current priority TXT file; high-frequency country,ga_brand_cluster,1,
row-3903-1774263062971,WWW2401AD,Penfolds  Max's Chardonnay,89,2,needs_review,codex_fast_lane,Codex queue band: ga_brand_cluster | GA brand rank: 1 | Why now: live Product Engine record; top GA brand rank #1; current priority TXT file; high-frequency country,ga_brand_cluster,1,
row-1845-1774263062962,WSP2585BU,Dom Perignon  P2 2004,85,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | GA brand rank: 34 | Why now: live Product Engine record; top GA brand rank #34; repeated producer (7 SKUs); appears in 2 task queues; strong producer reuse; high-frequency country,publish_fast_lane,34,
row-3570-1774263062969,WSP5777AD,Penfolds  Champagne Cuvee Brut,75,2,needs_review,codex_fast_lane,Codex queue band: ga_brand_cluster | GA brand rank: 1 | Why now: live Product Engine record; top GA brand rank #1; high-frequency country,ga_brand_cluster,1,
row-3278-1774263062967,WRW0571AA,"Velenosi  Breciarolo Gold, Rosso Piceno Superiore DOC",74,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | GA brand rank: 17 | Why now: live Product Engine record; top GA brand rank #17; appears in 2 task queues; high-frequency country,publish_fast_lane,17,
row-2921-1774263062966,WRW5779AA,Penfolds  II Dourthe Cabernet Shiraz,74,2,needs_review,codex_fast_lane,Codex queue band: ga_brand_cluster | GA brand rank: 1 | Why now: live Product Engine record; top GA brand rank #1; high-frequency country,ga_brand_cluster,1,
row-2954-1774263062966,WRW6618AA,"Baron Philippe de Rothschild  Mouton Cadet Bordeaux Rouge Bio ""Pierre""",70,2,needs_review,codex_fast_lane,Codex queue band: ga_brand_cluster | GA brand rank: 5 | Why now: live Product Engine record; top GA brand rank #5; high-frequency country,ga_brand_cluster,5,
row-3027-1774263062966,WWW5149AA,Baron Philippe de Rothschild  Mouton Cadet Reserve Sauternes,70,2,needs_review,codex_fast_lane,Codex queue band: ga_brand_cluster | GA brand rank: 5 | Why now: live Product Engine record; top GA brand rank #5; high-frequency country,ga_brand_cluster,5,
row-3001-1774263062966,WWW5423AA,"Baron Philippe de Rothschild  Mouton Cadet Bordeaux Blanc BIO ""Nathan""",70,2,needs_review,codex_fast_lane,Codex queue band: ga_brand_cluster | GA brand rank: 5 | Why now: live Product Engine record; top GA brand rank #5; high-frequency country,ga_brand_cluster,5,
row-2426-1774263062964,LGP0091FX,Granmonte  Red Jungle Grappa (330 ml),69,2,needs_review,codex_fast_lane,Codex queue band: ga_brand_cluster | GA brand rank: 3 | Why now: live Product Engine record; top GA brand rank #3,ga_brand_cluster,3,
row-2425-1774263062964,LGP0092FX,Granmonte  Red Jungle Grappa (700 ml),69,2,needs_review,codex_fast_lane,Codex queue band: ga_brand_cluster | GA brand rank: 3 | Why now: live Product Engine record; top GA brand rank #3,ga_brand_cluster,3,
row-5222-1774263062981,LSK0445FS,Hakutsuru  Purupuru Sparkling Jelly Sake Peach (190 ml) (Pack 30 Can),69,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; repeated producer (3 SKUs); appears in 2 task queues; high-frequency country,publish_fast_lane,,
row-5223-1774263062981,LSK0446FS,Hakutsuru  Purupuru Sparkling Jelly Sake Apple (190 ml) (Pack 30 Can),69,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; repeated producer (3 SKUs); appears in 2 task queues; high-frequency country,publish_fast_lane,,
row-5224-1774263062981,LSK0447FS,Hakutsuru  Purupuru Sparkling Jelly Sake Plum (190 ml) (Pack 30 Can),69,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; repeated producer (3 SKUs); appears in 2 task queues; high-frequency country,publish_fast_lane,,
row-2576-1774263062964,WRW2444BN,Chateau Haut Bailly  Grand Cru Classe 2016,69,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; repeated producer (3 SKUs); appears in 2 task queues; high-frequency country,publish_fast_lane,,
row-5115-1774263062980,LSK0013AR,Fukuju  Awasaki Sparkling Sake (300 ml),67,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; appears in 2 task queues; high-frequency country,publish_fast_lane,,
row-5126-1774263062980,LSK0301AR,Dewazakura   Sparkling Saku (250 ml),67,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; appears in 2 task queues; high-frequency country,publish_fast_lane,,
row-5920-1774263062984,WRW3764DJ,Chateau Falfas   Le Chevalier,67,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; appears in 2 task queues; high-frequency country,publish_fast_lane,,
row-2660-1774263062964,WRW4871BN,Amiral de Beychevelle  Saint Julien,67,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; appears in 2 task queues; high-frequency country,publish_fast_lane,,
row-3276-1774263062967,WRW4899AA,"Fattoria Aldobrandesca By Antinori  Vie Cave, Malbec IGT",67,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; appears in 2 task queues; high-frequency country,publish_fast_lane,,
row-5786-1774263062984,WRW4969AF,"Domain De Baronaques  ""Rouges"" By Baron Phillippe De Rothschild",67,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; appears in 2 task queues; high-frequency country,publish_fast_lane,,
row-5951-1774263062984,WSP5765EG,Dom Ruinart Blanc de Blanc 2010,66,2,needs_review,codex_fast_lane,Codex queue band: ga_brand_cluster | GA brand rank: 9 | Why now: live Product Engine record; top GA brand rank #9; high-frequency country,ga_brand_cluster,9,
row-6001-1774263062984,WRS0244GS,Monemvasia	 Voltes Rose,64,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; appears in 2 task queues,publish_fast_lane,,
row-1978-1774263062962,WRW6149DH,Bianka & Daniel Schmitt  Piros Trocken,64,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; appears in 2 task queues,publish_fast_lane,,
row-6002-1774263062984,WRW6437GS,Monemvasia	 Voltes Red,64,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; appears in 2 task queues,publish_fast_lane,,
row-1982-1774263062962,WWW5377DH,Bianka & Daniel Schmitt  Feminin Trocken,64,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; appears in 2 task queues,publish_fast_lane,,
row-4942-1774263062979,LGN0310DG,Glendalough Rose Gin (700 ml),63,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; appears in 2 task queues,publish_fast_lane,,
row-1677-1774263062961,WWW5348FP,Edition Abtei  Himmerod Riesling Trocken,63,1,needs_review,codex_fast_lane,Codex queue band: publish_fast_lane | Why now: live Product Engine record; appears in 2 task queues,publish_fast_lane,,
