entity_type,entity_name,parent_country,parent_region,parent_subregion,classification_scope,product_count,segments_seen,source_basis,copy_status,description_short_en,description_full_en,notes
region,Abruzzo,Italy,,,,59,wine,catalog_and_taxonomy_rules,draft_ready,"Abruzzo is one of Italy's key reference regions in the catalog, especially for Red Wine, White Wine, and Rose Wine.","Abruzzo appears in the assortment as a region with clear category identity, most often through Red Wine, White Wine, and Rose Wine. The current catalog footprint is anchored by Montepulciano d’Abruzzo, giving the region a strong sense of place even in this draft library layer. From a merchandising perspective, Abruzzo is best described as a region associated with Montepulciano, Trebbiano, and Pecorino, making it useful both for education and for structured product storytelling.",
region,Aconcagua Valley,Chile,,,,7,wine,catalog_and_taxonomy_rules,draft_ready,"Aconcagua Valley is one of Chile's key reference regions in the catalog, especially for Red Wine and White Wine.","Aconcagua Valley appears in the assortment as a region with clear category identity, most often through Red Wine and White Wine. The current catalog footprint is anchored by recognized local subregions and appellations, giving the region a strong sense of place even in this draft library layer. From a merchandising perspective, Aconcagua Valley is best described as a region associated with Cabernet Sauvignon, 15% Carmenere, 12% Malbec, 10% Merlot, 5% Petit Verdot, Carmenere, and Sauvignon Blanc 100%, making it useful both for education and for structured product storytelling.",
region,Adelaide Hills,Australia,,,,15,wine,catalog_and_taxonomy_rules,draft_ready,"Adelaide Hills is one of Australia's key reference regions in the catalog, especially for White Wine and Red Wine.","Adelaide Hills appears in the assortment as a region with clear category identity, most often through White Wine and Red Wine. The current catalog footprint is anchored by recognized local subregions and appellations, giving the region a strong sense of place even in this draft library layer. From a merchandising perspective, Adelaide Hills is best described as a region associated with Chardonnay, Sauvignon Blanc, and Chardonnay., making it useful both for education and for structured product storytelling.",
region,Alicante,Spain,,,,10,wine,catalog_and_taxonomy_rules,draft_ready,"Alicante is one of Spain's key reference regions in the catalog, especially for Red Wine and White Wine.","Alicante appears in the assortment as a region with clear category identity, most often through Red Wine and White Wine. The current catalog footprint is anchored by Aranjuez, giving the region a strong sense of place even in this draft library layer. From a merchandising perspective, Alicante is best described as a region associated with Monastrell (Mourvedre), Chardonnay, and Syraz, making it useful both for education and for structured product storytelling.",
region,Alsace,France,,,,35,"wine, spirits",catalog_and_taxonomy_rules,draft_ready,"Alsace is one of France's key reference regions in the catalog, especially for White Wine, Brandy, and Red Wine.","Alsace appears in the assortment as a region with clear category identity, most often through White Wine, Brandy, and Red Wine. The current catalog footprint is anchored by recognized local subregions and appellations, giving the region a strong sense of place even in this draft library layer. From a merchandising perspective, Alsace is best described as a region associated with Riesling, Gewurztraminer, and Pinot Gris, making it useful both for education and for structured product storytelling.",
region,Alsace,Germany,,,,2,wine,catalog_and_taxonomy_rules,draft_ready,"Alsace is one of Germany's key reference regions in the catalog, especially for White Wine.","Alsace appears in the assortment as a region with clear category identity, most often through White Wine. The current catalog footprint is anchored by recognized local subregions and appellations, giving the region a strong sense of place even in this draft library layer. From a merchandising perspective, Alsace is best described as a region associated with Riesling, making it useful both for education and for structured product storytelling.",
region,Alto Adige,Italy,,,,21,"wine, spirits",catalog_and_taxonomy_rules,draft_ready,"Alto Adige is one of Italy's key reference regions in the catalog, especially for White Wine, Red Wine, and Brandy.","Alto Adige appears in the assortment as a region with clear category identity, most often through White Wine, Red Wine, and Brandy. The current catalog footprint is anchored by recognized local subregions and appellations, giving the region a strong sense of place even in this draft library layer. From a merchandising perspective, Alto Adige is best described as a region associated with Pinot Gris, Gewurztraminer, and Chardonnay, making it useful both for education and for structured product storytelling.",
region,Armagnac,France,,,,13,spirits,catalog_and_taxonomy_rules,draft_ready,"Armagnac is one of France's key reference regions in the catalog, especially for Brandy and Liqueur.","Armagnac appears in the assortment as a region with clear category identity, most often through Brandy and Liqueur. The current catalog footprint is anchored by recognized local subregions and appellations, giving the region a strong sense of place even in this draft library layer. From a merchandising perspective, Armagnac is best described as a region associated with Armagnac, Brandy XO, and Armagnac XO, making it useful both for education and for structured product storytelling.",
region,Baden,Germany,,,,4,wine,catalog_and_taxonomy_rules,draft_ready,"Baden is one of Germany's key reference regions in the catalog, especially for White Wine and Red Wine.","Baden appears in the assortment as a region with clear category identity, most often through White Wine and Red Wine. The current catalog footprint is anchored by recognized local subregions and appellations, giving the region a strong sense of place even in this draft library layer. From a merchandising perspective, Baden is best described as a region associated with Pinot Noir 100%, Riesling, and Pinot Grigio 100%, making it useful both for education and for structured product storytelling.",
region,Baja California,Mexico,,,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Baja California is one of Mexico's key reference regions in the catalog, especially for Rose Wine.","Baja California appears in the assortment as a region with clear category identity, most often through Rose Wine. The current catalog footprint is anchored by recognized local subregions and appellations, giving the region a strong sense of place even in this draft library layer. From a merchandising perspective, Baja California is best described as a region associated with recognizable house and regional styles, making it useful both for education and for structured product storytelling.",
region,Barbados,Barbados,,,,8,spirits,catalog_and_taxonomy_rules,draft_ready,"Barbados is one of Barbados's key reference regions in the catalog, especially for Rum.","Barbados appears in the assortment as a region with clear category identity, most often through Rum. The current catalog footprint is anchored by recognized local subregions and appellations, giving the region a strong sense of place even in this draft library layer. From a merchandising perspective, Barbados is best described as a region associated with Aged Rum, Dark Rum, and White Rum, making it useful both for education and for structured product storytelling.",
region,Barbados,England,,,,1,spirits,catalog_and_taxonomy_rules,draft_ready,"Barbados is one of England's key reference regions in the catalog, especially for Rum.","Barbados appears in the assortment as a region with clear category identity, most often through Rum. The current catalog footprint is anchored by recognized local subregions and appellations, giving the region a strong sense of place even in this draft library layer. From a merchandising perspective, Barbados is best described as a region associated with Spiced Rum, making it useful both for education and for structured product storytelling.",
region,Barbados,France,,,,1,other,catalog_and_taxonomy_rules,draft_ready,"Barbados is one of France's key reference regions in the catalog, especially for Non-Alcoholic.","Barbados appears in the assortment as a region with clear category identity, most often through Non-Alcoholic. The current catalog footprint is anchored by recognized local subregions and appellations, giving the region a strong sense of place even in this draft library layer. From a merchandising perspective, Barbados is best described as a region associated with recognizable house and regional styles, making it useful both for education and for structured product storytelling.",
region,Barbados,Caribbean,,,,1,spirits,catalog_and_taxonomy_rules,draft_ready,"Barbados is one of Caribbean's key reference regions in the catalog, especially for Rum.","Barbados appears in the assortment as a region with clear category identity, most often through Rum. The current catalog footprint is anchored by recognized local subregions and appellations, giving the region a strong sense of place even in this draft library layer. From a merchandising perspective, Barbados is best described as a region associated with recognizable house and regional styles, making it useful both for education and for structured product storytelling.",
