supplier_code,supplier_name,supplier_detail,pricing_structure,drive_bucket_name,drive_supplier_folder_name,drive_supplier_folder_url,profile_status,input_file_type,latest_sample_file,automation_confidence,normalization_readiness,blocker_or_risk,recommended_solution,master_sku_metric_code,master_sku_count,master_top_brands,sample_skus,match_coverage_status,match_coverage_pct,match_coverage_note
AI,Global Food Products,Global Food Products,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",AI,3,Erdinger (2); Peroni Nastro Azzurro (1),LBE0011AI; LBE0012AI; LBE0244AI,after_normalized_csv,,Requires extracted normalized supplier rows.
AK,Sibour,Sibour,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",AK,85,Jean-Luc Colombo (14); Damm (6); PKNT (6); Norfolk Rise (6); Wild & Wilder (6),LBE0005AK; LBE0130AK; LBE0131AK; LBE0132AK; LBE0133AK; LBE0128AK,after_normalized_csv,,Requires extracted normalized supplier rows.
AM,D-Wine,D-Wine,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",AM,3,Billabong (3),WNA0003AM; WNA0002AM; WNA0001AM,after_normalized_csv,,Requires extracted normalized supplier rows.
AN,Brewberry,Brewberry,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",AN,13,Hoegaarden (8); Leffe (4); Stella Artois (1),LBE0006AN; LBE0007AN; LBE0008AN; LBE0236AN; LBE0174AN; LBE0175AN,after_normalized_csv,,Requires extracted normalized supplier rows.
AP,Pacer Grow,Pacer Grow,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",AP,50,Pages (10); Millaman (7); Cecilia Beretta (6); Matisse (5); Churchview (5),LWH0053AP; LWH0054AP; LWH0056AP; LWH0057AP; LWH0077AP; WRW1220AP,after_normalized_csv,,Requires extracted normalized supplier rows.
AU,Smiling Mad Dog,Smiling Mad Dog,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",AU,74,Brew Dog (7); Evil Twin Brewing (6); Santa Julia (6); St.Bernardus (5); Brothers Cider (5),LBE0119AU; LBE0117AU; LBE0118AU; LBE0123AU; LBE0120AU; LBE0200AU,after_normalized_csv,,Requires extracted normalized supplier rows.
AV,Drinkwise,Drinkwise,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",AV,54,Hitachino (9); Bong Spirit (9); The Japanese Bitters (7); Ark (5); Sod Chaeng (5),LBE0307AV; LBE0311AV; LBE0312AV; LBE0315AV; LBE0309AV; LBE0308AV,after_normalized_csv,,Requires extracted normalized supplier rows.
AX,"Flow Inter Co., Ltd.","Flow Inter Co., Ltd.",,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",AX,15,Paulaner (7); Fuller's (5); Hacker-Pschorr (3),LBE0272AX; LBE0287AX; LBE0267AX; LBE0273AX; LBE0257AX; LBE0258AX,after_normalized_csv,,Requires extracted normalized supplier rows.
BD,Oceanglass,Oceanglass,,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",BD,63,Lucaris (63),GWN0099BD; GWN0100BD; GWN0101BD; GWN0102BD; GWN0106BD; GWN0105BD,after_normalized_csv,,Requires extracted normalized supplier rows.
BG,Mini bar services,Mini bar services (Thailand),,,,,,,,,blocked,Supplier code is not mapped to a confirmed Drive folder.,"Map supplier code to the correct Drive supplier folder, then profile latest file.",BG,4,f fashiontv (4),LVK0055BG; LVK0058BG; LVK0056BG; LVK0059BG,after_normalized_csv,,Requires extracted normalized supplier rows.
