sku,name,classification,country,region,subregion,short_description,description,updated_at,magento_readiness,quality_blockers,quality_warnings,current_validation_status,enrichment_quality_grade,review_priority,popularity_revenue_90d,popularity_orders_90d,wn_stock
MNA0115WN,Mont Étoile  Natural Mineral Water (500 ml) (24 Bottles/PET),Mineral Water,Thailand,,,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,needs_review,,HIGH,0,0,18
WRW5836AA,Velenosi  Ninfa Marche Rosso IGT,Red Wine,Italy,Marche,Marche,Marche red blend of depth and structure—blackcurrant and cedar with firm tannins for serious red-meat pairing.,"<p>Velenosi's Ninfa Marche Rosso IGT is a multi-varietal red blend anchored by Cabernet Sauvignon, Merlot, Montepulciano, Sangiovese, and Shiraz. The wine presents a full-bodied profile with dominant blackcurrant and dark plum fruit, supported by pronounced cedar and oak character from winemaking. Medium acidity and medium-high tannins provide structure and aging potential. Secondary notes of black pepper and spice emerge alongside the oak framework, while tertiary complexity—tobacco and leather—develops with bottle age. This is a serious food wine suited to grilled red meats, braised beef, lamb, and aged cheeses.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,validated,A,HIGH,0,0,15
WRW0255AA,Baron Philippe de Rothschild  Mouton Cadet Bordeaux Rouge,Red Wine,France,Bordeaux,Bordeaux,"Elegant Bordeaux blend of Merlot, Cabernet Sauvignon & Franc; ripe dark fruit, balanced structure, food-friendly.","<p>A classic Bordeaux red from the prestigious Baron Philippe de Rothschild portfolio, this Mouton Cadet blend showcases the house's commitment to accessible yet refined winemaking. The blend of 60% Merlot, 20% Cabernet Sauvignon, and 20% Cabernet Franc delivers a harmonious expression of dark cherry, plum, and subtle cassis on the nose, with a soft, medium-bodied palate that balances ripe fruit with gentle cedar and herbaceous notes. The wine's moderate tannin structure and natural acidity make it an ideal companion to a wide range of cuisines, from grilled meats and braised dishes to tomato-based preparations and charcuterie.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,validated,B,HIGH,0,0,13
WRW4559CB,Bread & Butter  Pinot Noir,Red Wine,USA,Napa Valley,Napa Valley,"California Pinot Noir built on a deliberate MLF-and-oak manifesto — fruit-forward cool-climate sourcing, French and American barrel aging at 13.5% ABV.","<p>When Gregory Ahn launched Bread &amp; Butter in 2013, the brand name was a winemaking position statement: <strong>oak = bread, malolactic fermentation = butter</strong> — a conscious counter-punch to the lean, unoaked California style that had dominated the preceding decade. The Pinot Noir follows that same philosophy, sourced from <strong>cool-climate California sites</strong> spanning Pacific-influenced coastal blocks where marine air moderates ripening and preserves aromatic lift in the grape's notoriously thin skin.</p><p>Because Bread &amp; Butter contracts all fruit rather than owning vineyards, winemaker Linda Trotta has latitude to blend across multiple cool-climate appellations — drawing on Carneros fog-belt sites and coastal Sonoma blocks — to hit a consistent house profile vintage to vintage. The wine is aged in a <strong>combination of French and American oak barrels</strong>, the French component contributing fine-grained spice and the American adding the vanilla-inflected roundness that defines the brand's signature texture. <strong>ABV is held at 13.5%</strong>, moderate for California Pinot.</p><p>What separates this from most entry-tier California Pinot Noir is the brand's explicit commitment to the MLF-and-oak axis at scale: a style architecture usually reserved for higher price points, delivered here through multi-regional blending discipline rather than single-vineyard prestige. The current vintage maintains the house's ripe dark cherry and dried rose character, with the oak regime adding a cocoa-dusted finish — approachable on release and built for near-term drinking.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,needs_review,A,HIGH,0,0,9
WRW7634AC,La Puerta Alta Malbec Bonarda,Red Wine,Argentina,Mendoza,,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,missing_subregion,needs_review,,HIGH,0,0,8
WRW2358BN,Glaetzer  Bishop,Red Wine,Australia,Barossa Valley,Barossa Valley,"Barossa Valley Shiraz with ripe blackberry, plum, and oak spice—a medium-full red for fine dining and grilled meats.","<p>Glaetzer Bishop is a Barossa Valley Shiraz expressing the region's signature dark-fruit character. Blackberry and plum dominate the palate, supported by oak-derived vanilla and black pepper spice. Subtle smoke and cocoa notes add complexity and food-friendly structure. Medium-full body with balanced tannin and acidity positions this wine as a versatile companion to grilled red meat, lamb, and braised dishes.</p>",2026-06-02T14:04:44Z,REVIEW,,region_equals_subregion,validated,A,HIGH,0,0,5
ABA0222CQ,Jiggers  Black Pull Lever Corkscrew,Wine product,USA,,,,Jiggers  Black Pull Lever Corkscrew,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,validated,,HIGH,0,0,4
LRM0140ES,Phraya  Gold Rum (700 ml),Wine product,Thailand,,,,Phraya  Gold Rum (700 ml),2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short; beverage_region_missing,,validated,,HIGH,0,0,4
WRS0035AB,Chateau d'Esclans  Whispering Angel Rose,Rose Wine,France,Provence,Les Baux-de-Provence,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,needs_review,,HIGH,0,0,4
WRW7636DD,Paço Dos Infantes Tinto,Red Wine,Spain,Douro,Douro Valley,,,2026-06-02T14:04:44Z,HOLD,description_missing_or_too_short; short_description_missing_or_too_short,,needs_review,,HIGH,0,0,4
