sku,id,name,classification,brand,price,overall_confidence,country,region,subregion,gap_type,stage_order,applicability,ga_priority_rank,ga_priority_score,value_band,subregion_action,priority_score,priority_reason,priority_rank
LWF0006HC,,Hibiki Collection @Blue Moon Siam Paragon,Whisky,Hibiki Collection,9990.00,0.88,,,,country,1,actionable,,,high_value,,330.00,country-first gap | spirits lane | high value | high confidence context,1
LWF0013HC,,Yamazaki Tsukuriwake Collection @Blue Moon Siam Paragon,Whisky,Yamazaki Tsukuriwake,27000.00,0.88,,,,country,1,actionable,,,high_value,,330.00,country-first gap | spirits lane | high value | high confidence context,2
LWF0015HC,,Hibiki Nas Collection @Blue Moon Siam Paragon,Whisky,Hibiki Nas,4500.00,0.88,,,,country,1,actionable,,,high_value,,330.00,country-first gap | spirits lane | high value | high confidence context,3
LWF0016HC,,Diageo Special Release Collection 2021: Legends Untold @Blue Moon Siam Paragon,Whisky,Diageo Special Release Collection,6900.00,0.88,,Speyside,,country,1,actionable,,,high_value,,330.00,country-first gap | spirits lane | high value | high confidence context,4
LRM0270AE,,Black Tot Historic Solera (700 ml),Rum,Black Tot,3559.00,0.68,,Barbados,,country,1,actionable,,,high_value,,315.00,country-first gap | spirits lane | high value,5
LLQ0491EI,,Sober Spirits  Bitter Non-Alcoholic Beverage (500 ml),Liqueur,Fernet,1999.00,0.89,,,,country,1,actionable,,,mid_value,,310.00,country-first gap | spirits lane | mid value | high confidence context,6
LWF0009HC,,Ballentine’s Collection @Blue Moon Siam Paragon,Whisky,Ballentine,1750.00,0.88,,,,country,1,actionable,,,mid_value,,310.00,country-first gap | spirits lane | mid value | high confidence context,7
LWF0017HC,,Speyside Big Fan @Blue Moon Siam Paragon,Whisky,Speyside Big,2490.00,0.88,,Speyside,,country,1,actionable,,,mid_value,,310.00,country-first gap | spirits lane | mid value | high confidence context,8
LWF0018HC,,ISLAY FC @Blue Moon Siam Paragon,Whisky,,1680.00,0.88,,Islay,,country,1,actionable,,,mid_value,,310.00,country-first gap | spirits lane | mid value | high confidence context,9
ABA0056BM,,Metrokane  Vip Vertical Rabbit - Sterling W/Leather - Black,Accessories,Metrokane  Vip Vertical Rabbit,3490.00,0.88,,,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,10
ABA0105BM,,Rabbit  Aerating Decanter Set,Accessories,Rabbit,3490.00,0.88,,,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,11
ABA0131BM,,Metrokane  L-Press Juicer - W/Orange Handles,Accessories,Metrokane  L-Press Juicer,3990.00,0.88,,,,country,1,actionable,,,high_value,,305.00,country-first gap | high value | high confidence context,12
