entity_type,entity_name,parent_country,parent_region,parent_subregion,classification_scope,product_count,segments_seen,source_basis,copy_status,description_short_en,description_full_en,notes
classification,Accessories,,,,,612,accessories,catalog_and_taxonomy_rules,draft_ready,"Accessories is a major classification in the catalog, with strong representation from USA, France, and Austria.","Accessories serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across USA, France, and Austria, with visible concentration in brands such as Jiggers, The 4 Barmen, and Coravin. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include the category’s expected style signatures. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Beer,,,,,223,beer,catalog_and_taxonomy_rules,draft_ready,"Beer is a major classification in the catalog, with strong representation from Belgium, Germany, and Thailand.","Beer serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across Belgium, Germany, and Thailand, with visible concentration in brands such as Paulaner, Hitachino, and Hacklberg. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include the category’s expected style signatures. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Brandy,,,,,233,spirits,catalog_and_taxonomy_rules,draft_ready,"Brandy is a major classification in the catalog, with strong representation from France, Italy, and Australia.","Brandy serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across France, Italy, and Australia, with visible concentration in brands such as Hennessy, Nonino, and Remy Martin. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include Cognac, Brandy XO, and Brandy VSOP. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Champagne,,,,,388,wine,catalog_and_taxonomy_rules,draft_ready,"Champagne is a major classification in the catalog, with strong representation from France.","Champagne serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across France, with visible concentration in brands such as Louis Roederer, Philipponnat Royal, and Champagne Remi Leroy. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include Chardonnay, Chardonnay 100%, and Pinot Noir. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Chinese Spirits,,,,,2,other,catalog_and_taxonomy_rules,draft_ready,"Chinese Spirits is a major classification in the catalog, with strong representation from Taiwan.","Chinese Spirits serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across Taiwan, with visible concentration in brands such as Yushan Mau Tai. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include the category’s expected style signatures. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Cigar,,,,,102,accessories,catalog_and_taxonomy_rules,draft_ready,"Cigar is a major classification in the catalog, with strong representation from Cuba, Nicaragua, and Dominican Republic.","Cigar serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across Cuba, Nicaragua, and Dominican Republic, with visible concentration in brands such as Montecristo, Romeo Y Julieta, and Partagas. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include the category’s expected style signatures. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Dessert Wine,,,,,48,wine,catalog_and_taxonomy_rules,draft_ready,"Dessert Wine is a major classification in the catalog, with strong representation from Spain, Italy, and France.","Dessert Wine serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across Spain, Italy, and France, with visible concentration in brands such as Gonzalez Byass Winery, Dow's, and Donnafugata. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include Palomino Fino, Zibibbo (Moscato D'alessandria), and Palomino, 13% Pedro Ximénez. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Events,,,,,10,other,catalog_and_taxonomy_rules,draft_ready,"Events is a major classification in the catalog, with strong representation from France.","Events serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across France, with visible concentration in brands such as Wine, Vik, and Joseph Mellot. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include the category’s expected style signatures. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Fruit Wine,,,,,16,wine,catalog_and_taxonomy_rules,draft_ready,"Fruit Wine is a major classification in the catalog, with strong representation from Chile, Australia, and France.","Fruit Wine serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across Chile, Australia, and France, with visible concentration in brands such as Mar Y Sol, Costera, and The Old Town. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include Sauvignon Blanc, Chardonnay, and Shiraz. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Gin,,,,,286,spirits,catalog_and_taxonomy_rules,draft_ready,"Gin is a major classification in the catalog, with strong representation from England, UK, and Japan.","Gin serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across England, UK, and Japan, with visible concentration in brands such as Buss 509, Whitley Neill, and G'Vine. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include Dry Gin, London Dry Gin, and Sloe Gin. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Glassware,,,,,280,accessories,catalog_and_taxonomy_rules,draft_ready,"Glassware is a major classification in the catalog, with strong representation from Austria, Thailand, and Germany.","Glassware serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across Austria, Thailand, and Germany, with visible concentration in brands such as Riedel, Lucaris, and Spiegelau. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include the category’s expected style signatures. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Korean Wine,,,,,6,wine,catalog_and_taxonomy_rules,draft_ready,"Korean Wine is a major classification in the catalog, with strong representation from Korea.","Korean Wine serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across Korea, with visible concentration in brands such as Kook Soon Dang. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include the category’s expected style signatures. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Liqueur,,,,,393,spirits,catalog_and_taxonomy_rules,draft_ready,"Liqueur is a major classification in the catalog, with strong representation from France, Italy, and Japan.","Liqueur serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across France, Italy, and Japan, with visible concentration in brands such as Giffard, Joseph Cartron, and Bitter Truth. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include Fruit Liqueur, Herbal Liqueur, and Nut Liqueur. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Mineral Water,,,,,1,other,catalog_and_taxonomy_rules,draft_ready,"Mineral Water is a major classification in the catalog, with strong representation from Thailand.","Mineral Water serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across Thailand, with visible concentration in brands such as Mont Étoile. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include the category’s expected style signatures. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Non-Alcoholic,,,,,147,other,catalog_and_taxonomy_rules,draft_ready,"Non-Alcoholic is a major classification in the catalog, with strong representation from France, UK, and Scotland.","Non-Alcoholic serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across France, UK, and Scotland, with visible concentration in brands such as Monin, Giffard, and Marie Brizard. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include the category’s expected style signatures. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Orange Wine,,,,,20,wine,catalog_and_taxonomy_rules,draft_ready,"Orange Wine is a major classification in the catalog, with strong representation from Italy, France, and Germany.","Orange Wine serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across Italy, France, and Germany, with visible concentration in brands such as Radikon, Gérard Bertrand, and Primosic. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include Saperavi, Chardonnay, Grenache Blanc, Viognier, Marsanne , Mauzac, Muscat, and Silvaner. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Others,,,,,126,other,catalog_and_taxonomy_rules,draft_ready,"Others is a major classification in the catalog, with strong representation from Japan, New Zealand, and Thailand.","Others serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across Japan, New Zealand, and Thailand, with visible concentration in brands such as Umeshu, Nakano BC, and Choya. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include the category’s expected style signatures. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Port Wine,,,,,12,wine,catalog_and_taxonomy_rules,draft_ready,"Port Wine is a major classification in the catalog, with strong representation from Portugal.","Port Wine serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across Portugal, with visible concentration in brands such as Blandy's, Taylor, and Joao Portugal. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include Touriga Nacional, Touriga Franca, Tinta Barroca, Tinta Roriz, Tinta Negra Mole., and Touriga Nacional, Touriga Franca, Tinta Roriz, Tinto Cao, Tinta Barroca. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
classification,Ready to Drink,,,,,5,other,catalog_and_taxonomy_rules,draft_ready,"Ready to Drink is a major classification in the catalog, with strong representation from Germany.","Ready to Drink serves as one of the main browsing and merchandising lenses in the product library. The current assortment shows depth across Germany, with visible concentration in brands such as Signature Cocktail. At a copy level, this classification is best described through its core stylistic markers, which in the present catalog most often include the category’s expected style signatures. This draft is intended to support consistent, professional taxonomy copy until a fully source-validated category note is prepared.",
