entity_type,authority_name,canonical_brand,canonical_producer,source_basis,authority_status,country_primary,classification_scope,segments_seen,product_count,validated_product_count,avg_overall_confidence,official_website,official_source_status,sales_priority_score,sales_priority_rank,sold_qty_total,sold_orders_total,ga_views,ga_priority_rank,ga_status,brand_strength_score,brand_strength_rank,value_priority_score,value_priority_rank,margin_thb_total,max_price,avg_price,priority_composite_score,priority_composite_rank,priority_rule,copy_status,description_short_en,description_full_en,notes
brand,Bottega,Bottega,,products_json + brand_description_library,brand_live,Italy,Sparkling Wine,wine,17,17,0.9047,,needs_official_url,1475.0,1,105.0,17.0,,,awaiting_ga_export,85.0,24,6349.88,92,5044.88,8700.0,1729.41,1684.49,1,sales > GA views > brand strength > high value SKU,draft_catalog_based,"Bottega is an active brand in the catalog, represented across Sparkling Wine, Brandy, and Rose Wine.","Bottega appears in the assortment as a recurring commercial brand with visible strength in Sparkling Wine, Brandy, and Rose Wine and geographic ties to Italy. In the absence of a source-validated producer biography, this draft brand description stays close to live catalog evidence and positions the brand through its practical role in the assortment: a recognizable label used across 32 listed products, with relevance for search, navigation, and consistent copy tone.",Brand description generated from live catalog distribution; upgrade with official brand story when available.
brand,Wolf Blass,Wolf Blass,,products_json + brand_description_library,brand_live,Australia,Red Wine,wine,23,23,0.95,,needs_official_url,1435.0,2,101.0,17.0,,,awaiting_ga_export,115.0,14,4995.0,122,4290.75,4695.0,986.3,1527.0,2,sales > GA views > brand strength > high value SKU,draft_catalog_based,"Wolf Blass is an active brand in the catalog, represented across Red Wine and White Wine.","Wolf Blass appears in the assortment as a recurring commercial brand with visible strength in Red Wine and White Wine and geographic ties to Australia. In the absence of a source-validated producer biography, this draft brand description stays close to live catalog evidence and positions the brand through its practical role in the assortment: a recognizable label used across 32 listed products, with relevance for search, navigation, and consistent copy tone.",Brand description generated from live catalog distribution; upgrade with official brand story when available.
brand,Penfolds,Penfolds,,products_json + brand_description_library,brand_live,Australia,Red Wine,wine,39,39,0.95,,needs_official_url,1400.0,3,85.0,22.0,,,awaiting_ga_export,195.0,8,75407.72,5,65084.87,68819.0,8896.95,8559.77,3,sales > GA views > brand strength > high value SKU,draft_catalog_based,"Penfolds is an active brand in the catalog, represented across Red Wine, White Wine, and Champagne.","Penfolds appears in the assortment as a recurring commercial brand with visible strength in Red Wine, White Wine, and Champagne and geographic ties to Australia, USA, and France. In the absence of a source-validated producer biography, this draft brand description stays close to live catalog evidence and positions the brand through its practical role in the assortment: a recognizable label used across 57 listed products, with relevance for search, navigation, and consistent copy tone.",Brand description generated from live catalog distribution; upgrade with official brand story when available.
brand,Mcguigan,Mcguigan,,products_json + brand_description_library,brand_live,Australia,Red Wine,wine,8,8,0.9,,needs_official_url,1265.0,4,114.0,5.0,,,awaiting_ga_export,40.0,96,778.02,669,692.67,569.0,534.0,971.3,4,sales > GA views > brand strength > high value SKU,draft_catalog_based,"Mcguigan is an active brand in the catalog, represented across Red Wine and Sparkling Wine.","Mcguigan appears in the assortment as a recurring commercial brand with visible strength in Red Wine and Sparkling Wine and geographic ties to Australia. In the absence of a source-validated producer biography, this draft brand description stays close to live catalog evidence and positions the brand through its practical role in the assortment: a recognizable label used across 6 listed products, with relevance for search, navigation, and consistent copy tone.",Brand description generated from live catalog distribution; upgrade with official brand story when available.
brand,Baron Philippe de Rothschild,Baron Philippe de Rothschild,,products_json + brand_description_library,brand_live,France,Red Wine,wine,43,43,0.9167,,needs_official_url,1180.0,5,63.0,22.0,,,awaiting_ga_export,215.0,6,20148.25,20,19641.25,3380.0,1184.07,2883.82,5,sales > GA views > brand strength > high value SKU,draft_catalog_based,"Baron Philippe de Rothschild is an active brand in the catalog, represented across Red Wine, White Wine, and Dessert Wine.","Baron Philippe de Rothschild appears in the assortment as a recurring commercial brand with visible strength in Red Wine, White Wine, and Dessert Wine and geographic ties to France. In the absence of a source-validated producer biography, this draft brand description stays close to live catalog evidence and positions the brand through its practical role in the assortment: a recognizable label used across 45 listed products, with relevance for search, navigation, and consistent copy tone.",Brand description generated from live catalog distribution; upgrade with official brand story when available.
brand,Concha Y Toro,Concha Y Toro,,products_json + brand_description_library,brand_live,Chile,Red Wine,wine,27,27,0.95,,needs_official_url,1120.0,6,72.0,16.0,,,awaiting_ga_export,135.0,11,4685.49,132,3710.64,6499.0,983.07,1279.55,6,sales > GA views > brand strength > high value SKU,draft_catalog_based,"Concha Y Toro is an active brand in the catalog, represented across Red Wine, White Wine, and Sparkling Wine.","Concha Y Toro appears in the assortment as a recurring commercial brand with visible strength in Red Wine, White Wine, and Sparkling Wine and geographic ties to Chile. In the absence of a source-validated producer biography, this draft brand description stays close to live catalog evidence and positions the brand through its practical role in the assortment: a recognizable label used across 11 listed products, with relevance for search, navigation, and consistent copy tone.",Brand description generated from live catalog distribution; upgrade with official brand story when available.
brand,G7 The 7th Generation,G7 The 7th Generation,,products_json + brand_description_library,brand_live,Chile,Red Wine,wine,9,9,0.85,,needs_official_url,1030.0,7,88.0,6.0,,,awaiting_ga_export,45.0,70,1114.62,520,994.77,799.0,662.78,841.46,7,sales > GA views > brand strength > high value SKU,draft_missing,,,
brand,Chateau de la Vieille Tour,Chateau de la Vieille Tour,,products_json + brand_description_library,brand_live,France,Red Wine,wine,2,2,0.9,,needs_official_url,710.0,8,31.0,16.0,,,awaiting_ga_export,10.0,549,748.92,682,569.07,1199.0,1199.0,573.89,8,sales > GA views > brand strength > high value SKU,draft_catalog_based,"Chateau de la Vieille Tour is an active brand in the catalog, represented across Red Wine.","Chateau de la Vieille Tour appears in the assortment as a recurring commercial brand with visible strength in Red Wine and geographic ties to France. In the absence of a source-validated producer biography, this draft brand description stays close to live catalog evidence and positions the brand through its practical role in the assortment: a recognizable label used across 3 listed products, with relevance for search, navigation, and consistent copy tone.",Brand description generated from live catalog distribution; upgrade with official brand story when available.
brand,Glaetzer,Glaetzer,,products_json + brand_description_library,brand_live,Australia,Red Wine,wine,4,4,0.91,,needs_official_url,615.0,9,49.0,5.0,,,awaiting_ga_export,20.0,290,2233.94,284,1873.94,2400.0,1725.0,657.89,9,sales > GA views > brand strength > high value SKU,draft_catalog_based,"Glaetzer is an active brand in the catalog, represented across Red Wine.","Glaetzer appears in the assortment as a recurring commercial brand with visible strength in Red Wine and geographic ties to Australia and USA. In the absence of a source-validated producer biography, this draft brand description stays close to live catalog evidence and positions the brand through its practical role in the assortment: a recognizable label used across 3 listed products, with relevance for search, navigation, and consistent copy tone.",Brand description generated from live catalog distribution; upgrade with official brand story when available.
brand,Velenosi,Velenosi,,products_json + brand_description_library,brand_live,Italy,Red Wine,wine,15,15,0.9,,needs_official_url,595.0,10,42.0,7.0,,,awaiting_ga_export,75.0,32,8187.39,76,7738.89,2990.0,1265.0,1250.24,10,sales > GA views > brand strength > high value SKU,draft_catalog_based,"Velenosi is an active brand in the catalog, represented across Red Wine, White Wine, and Sparkling Wine.","Velenosi appears in the assortment as a recurring commercial brand with visible strength in Red Wine, White Wine, and Sparkling Wine and geographic ties to Italy. In the absence of a source-validated producer biography, this draft brand description stays close to live catalog evidence and positions the brand through its practical role in the assortment: a recognizable label used across 17 listed products, with relevance for search, navigation, and consistent copy tone.",Brand description generated from live catalog distribution; upgrade with official brand story when available.
