entity_type,entity_name,parent_country,parent_region,parent_subregion,classification_scope,product_count,segments_seen,source_basis,copy_status,description_short_en,description_full_en,notes
country,Anguilla,,,,,1,spirits,catalog_and_taxonomy_rules,draft_ready,"Anguilla is a core origin in the WNLQ9 catalog, represented most strongly through Rum.","Anguilla plays an important role in the current assortment, with product coverage that centers on Rum and regional strength in Caribbean. In commercial terms, the country reads as a reliable source of category-defining products with strength in Rum. This draft description is generated from live catalog patterns and is intended as a professional library entry that can later be refined with source-validated regional history where needed.",Region map available: no
country,Argentina,,,,,176,wine,catalog_and_taxonomy_rules,expert_reviewed,"Argentina is best known for Malbec from Mendoza, offering ripe fruit, altitude freshness, and excellent value across price levels.","Argentina's wine story is led by the Andes, especially Mendoza, where altitude helps preserve freshness in sunny conditions. Malbec is the signature grape, but Cabernet Sauvignon, Chardonnay, Torrontés, and Cabernet Franc are also important. The best wines combine generous fruit with mountain lift and a polished tannin profile. Argentina performs strongly both as an approachable entry point and as a source of serious premium reds.",Region map available: yes
country,Australia,,,,,795,"wine, spirits, accessories",catalog_and_taxonomy_rules,expert_reviewed,"Australia is a leading New World wine country, celebrated for bold Shiraz, strong regional identities, and consistently polished styles.","Australia's wine reputation is built on both power and precision. South Australia remains the heart of the category through Barossa, McLaren Vale, and Coonawarra, while Margaret River, Yarra Valley, Clare Valley, and Tasmania add regional range. Shiraz and Cabernet Sauvignon are central to the country's red wine identity, with Chardonnay, Riesling, and sparkling wine also important. The market spans reliable everyday labels and some of the Southern Hemisphere's most collectible wines.",Region map available: yes
country,Austria,,,,,198,"accessories, wine",catalog_and_taxonomy_rules,expert_reviewed,"Austria is a fine wine country known for Grüner Veltliner, Riesling, and precise cool-climate whites with strong gastronomic appeal.","Austria's reputation rests on freshness, clarity, and regional definition. Wachau, Kamptal, Kremstal, and Burgenland are among its key regions, with Grüner Veltliner and Riesling leading the country's white wine image, while Blaufränkisch and Zweigelt are important on the red side. Austrian wines often combine lift, mineral tension, and food-friendly structure. The country is especially valued by drinkers looking for elegant alternatives to more obvious classic regions.",Region map available: no
country,Barbados,,,,,20,spirits,catalog_and_taxonomy_rules,expert_reviewed,"Barbados is one of the world’s classic rum nations, known for balanced, refined island rum.","Barbados is a defining name in rum, with a style that is typically balanced, rounded, and polished rather than overly heavy or aggressively funky. The island has helped shape modern sipping rum, and its producers are widely respected for both heritage and technical consistency. Barbados remains one of the most important reference points for premium Caribbean rum.",Region map available: no
country,Belgium,,,,,62,"beer, spirits",catalog_and_taxonomy_rules,expert_reviewed,"Belgium is a benchmark country for beer, with deep traditions in genever and liqueur making.","Belgium is one of the great beer nations of the world, known for abbey ales, lambic, saison, and a remarkably broad brewing culture. Its distilling tradition also includes genever, fruit liqueurs, and a growing modern gin and rum category. Belgian drinks are often defined by craftsmanship, regional identity, and an appreciation for complex, food-friendly flavour.",Region map available: no
country,Bermuda,,,,,2,spirits,catalog_and_taxonomy_rules,draft_ready,"Bermuda is a core origin in the WNLQ9 catalog, represented most strongly through Rum.","Bermuda plays an important role in the current assortment, with product coverage that centers on Rum and regional strength in Cognac. In commercial terms, the country reads as a reliable source of category-defining products with strength in Rum. This draft description is generated from live catalog patterns and is intended as a professional library entry that can later be refined with source-validated regional history where needed. Across the present range, the most visible style signatures include Dark Rum.",Region map available: no
country,Brazil,,,,,15,spirits,catalog_and_taxonomy_rules,expert_reviewed,"Brazil is the home of cachaça, the national spirit behind the Caipirinha.","Brazil’s most important spirits story is cachaça, a fresh sugarcane spirit that gives the country one of the world’s most distinctive drinking traditions. Beyond cachaça, Brazil has a growing premium spirits scene that reflects its agricultural richness and modern bar culture. The country’s beverage identity is energetic, expressive, and increasingly sophisticated.",Region map available: no
country,Cambodia,,,,,3,spirits,catalog_and_taxonomy_rules,draft_ready,"Cambodia is a core origin in the WNLQ9 catalog, represented most strongly through Gin.","Cambodia plays an important role in the current assortment, with product coverage that centers on Gin and regional strength in key production areas. In commercial terms, the country reads as a reliable source of category-defining products with strength in Gin. This draft description is generated from live catalog patterns and is intended as a professional library entry that can later be refined with source-validated regional history where needed. Across the present range, the most visible style signatures include Dry Gin.",Region map available: no
country,Canada,,,,,29,"spirits, beer",catalog_and_taxonomy_rules,expert_reviewed,"Canada is a major whisky country, also known for vodka, gin, and approachable liqueurs.","Canada has a long whisky tradition built around smooth, blended styles and a flexible use of rye, corn, and barley. Alongside whisky, the country produces vodka, gin, and liqueurs that often lean clean, balanced, and easy to mix. Canadian drinks brands tend to emphasise consistency, versatility, and broad international appeal.",Region map available: no
country,Caribbean,,,,,11,spirits,catalog_and_taxonomy_rules,expert_reviewed,"The Caribbean is the birthplace of rum, with a style range that runs from light and elegant to deep and intensely aromatic.","The Caribbean is not a single wine country in the traditional sense, but it is one of the world’s defining spirits origins. Across the islands, rum developed into a family of styles shaped by sugarcane, tropical aging, and local distilling traditions, with Jamaica, Barbados, Trinidad, and Cuba each offering distinct expressions. The region remains the spiritual home of rum, cocktail culture, and much of the modern premium rum revival.",Region map available: no
country,Chile,,,,,465,"wine, spirits",catalog_and_taxonomy_rules,expert_reviewed,"Chile is one of South America's key wine countries, known for value, consistency, and polished Cabernet Sauvignon, Carmenere, and Sauvignon Blanc.","Chile stretches between the Andes and the Pacific, giving its vineyards cooling influences and a long growing season. Cabernet Sauvignon remains the country's flagship red, with Carmenere, Merlot, Chardonnay, and Sauvignon Blanc all important across regions such as Maipo, Colchagua, Casablanca, and the Central Valley. The wines often balance ripe fruit with freshness and clean varietal definition. Chile is especially strong where dependable quality and price-to-quality value matter.",Region map available: yes
country,China,,,,,24,"accessories, wine, spirits",catalog_and_taxonomy_rules,expert_reviewed,"China is an emerging drinks origin, with Ningxia leading the country’s quality wine story.","China is one of the most closely watched new wine origins, especially through Ningxia, where Cabernet Sauvignon has become a flagship variety. The country also supports a fast-developing spirits and accessories market, reflecting both domestic growth and international investment. Its drinks profile is still evolving, but the premium sector is now clearly established in key regions.",Region map available: no
country,Colombia,,,,,7,spirits,catalog_and_taxonomy_rules,expert_reviewed,"Colombia is best known for aguardiente and rum, both central to its national drinking culture.","Colombia has a strong and distinctive spirits identity led by aguardiente and rum. Aguardiente, with its familiar anise character, remains a deeply local category, while Colombian rum has earned growing respect for quality and balance. The country’s drinks culture is lively, regional, and strongly connected to celebration and everyday social life.",Region map available: no
country,Cuba,,,,,93,"accessories, spirits",catalog_and_taxonomy_rules,expert_reviewed,"Cuba is one of the classic homes of rum and cigar culture, with a drinks identity built on molasses spirit and cocktail tradition.","Cuba's global drinks reputation is tied to light-bodied Spanish-style rum and to the enduring influence of Havana cocktail culture. Cuban rum typically emphasizes balance, softness, and mixability rather than heavy sweetness, making it central to drinks such as the Daiquiri and Mojito. The country is also inseparable from premium cigars, which shape its luxury identity. For spirits retail, Cuba remains a highly recognizable origin with strong heritage appeal.",Region map available: no
country,Czech Republic,,,,,12,"beer, spirits",catalog_and_taxonomy_rules,expert_reviewed,"The Czech Republic is one of the world’s great beer countries, also known for herbal liqueurs and clean spirits.","The Czech Republic has a celebrated beer culture built on pale lager, precise brewing, and a deep pub tradition. Alongside beer, the country produces herbal liqueurs and a range of straightforward spirits that suit local drinking customs. Its drinks identity is practical, well-established, and strongly linked to everyday social culture.",Region map available: no
country,Denmark,,,,,11,"beer, accessories",catalog_and_taxonomy_rules,expert_reviewed,"Denmark is a respected beer origin, with a modern reputation for clean, design-led brewing and a growing spirits scene.","Denmark combines a strong brewing culture with a contemporary Nordic approach to drinks and hospitality. Beer is the clearest category, but the country also shows a growing interest in premium spirits, botanicals, and minimalist, design-conscious brands. Danish drinks tend to feel precise, modern, and quietly polished rather than showy.",Region map available: no
country,Dominican Republic,,,,,16,"spirits, accessories",catalog_and_taxonomy_rules,expert_reviewed,"The Dominican Republic is one of the Caribbean’s most respected rum origins, with a strong cigar tradition alongside it.","The Dominican Republic is closely associated with smooth, aged rum and a long-standing Caribbean distilling culture. Its rum style is often polished and approachable, making it popular both for sipping and mixing. The country also has a well-known cigar tradition, adding to its premium export identity.",Region map available: no
country,England,,,,,70,"spirits, wine, beer",catalog_and_taxonomy_rules,expert_reviewed,"England has emerged as a serious sparkling wine origin, with chalky soils and a cool climate well suited to classic-method styles.","England is best known for sparkling wine made from Chardonnay, Pinot Noir, and Pinot Meunier, especially in the south where chalk soils mirror parts of Champagne. The style often emphasizes freshness, fine acidity, and mineral precision. Still wines exist in smaller quantities, but premium English wine is defined above all by sparkling production. The category has moved from curiosity to credible fine-wine alternative.",Region map available: no
country,Fiji,,,,,2,spirits,catalog_and_taxonomy_rules,draft_ready,"Fiji is a core origin in the WNLQ9 catalog, represented most strongly through Rum.","Fiji plays an important role in the current assortment, with product coverage that centers on Rum and regional strength in Islands. In commercial terms, the country reads as a reliable source of category-defining products with strength in Rum. This draft description is generated from live catalog patterns and is intended as a professional library entry that can later be refined with source-validated regional history where needed. Across the present range, the most visible style signatures include Spiced Rum.",Region map available: no
country,Finland,,,,,8,spirits,catalog_and_taxonomy_rules,expert_reviewed,"Finland is best known for vodka and clean, understated Nordic spirits.","Finland’s drinks identity is built around purity, cold-climate precision, and a taste for restrained flavours. Vodka is the best-known category, but the country also produces modern gin and other spirits that lean fresh, crisp, and minimalist. Finnish drinks brands often emphasise clarity, natural character, and a strong sense of place.",Region map available: no
country,France,,,,,2753,"wine, spirits, other",catalog_and_taxonomy_rules,expert_reviewed,"France is the benchmark for fine wine and the birthplace of Champagne, Cognac, and many of the world's classic appellations.","France remains the reference point for premium wine through regions such as Bordeaux, Burgundy, Champagne, the Rhône Valley, Loire, and Alsace. Its appellation system ties quality and style closely to origin, from Cabernet and Merlot blends to Pinot Noir, Chardonnay, and traditional-method sparkling wine. France is also home to Cognac, Armagnac, and classic aperitif culture. For fine wine retail, it is one of the essential countries to understand.",Region map available: yes
country,Georgia,,,,,12,wine,catalog_and_taxonomy_rules,expert_reviewed,"Georgia is one of the world’s oldest wine nations, renowned for qvevri fermentation and deeply rooted indigenous varieties.","Georgia is a cornerstone of wine history, with a winemaking tradition that stretches back millennia and still feels alive in contemporary cellars. The country’s signature style is qvevri wine, where grapes ferment and mature in buried clay vessels, creating textured amber whites and characterful reds. Saperavi, Rkatsiteli, and other indigenous grapes give Georgian wine its unmistakable identity: earthy, structured, and unmistakably original.",Region map available: yes
