sku,country,region,subregion,enrichment_source,enrichment_note
AWC0138EN,Singapore,,,geography_merge_now_batch,"country: Singapore (country_refresh) - Live catalog pattern match: five sibling Kadeka wine-cellar SKUs in products.json already carry country=Singapore, and this SKU name clearly matches the same Kadeka product family despite the blank brand field."
LAB0016EQ,,Moravia,,geography_merge_now_batch,region: Moravia (region_lane) - R. Jelinek is centered on Vizovice in Moravia; Moravia is the safest region-level fill.
LBD0194AA,,Coquimbo,,geography_merge_now_batch,region: Coquimbo (region_lane) - Capel is a Chilean pisco house identified with the Coquimbo pisco zone; this is a straightforward Chilean pisco region fill.
LBE0770DO,,Phuket,,geography_merge_now_batch,"region: Phuket (region_lane) - Full Moon Brewworks is the Phuket craft brewery behind Chalawan, making Phuket a safe region fill."
LBE0771DO,,Phuket,,geography_merge_now_batch,"region: Phuket (region_lane) - Full Moon Brewworks is the Phuket craft brewery behind Chatri, making Phuket a safe region fill."
LGN0069DG,,Cognac,,geography_merge_now_batch,"region: Cognac (region_lane) - Citadelle is produced by Maison Ferrand in Cognac, making Cognac the safest region fill."
LGN0198DG,,Cognac,,geography_merge_now_batch,region: Cognac (region_lane) - Citadelle is the Ferrand gin from Cognac; Cognac is the clearest publish-safe regional reference for the house.
LGN0291EQ,,Nagano,,geography_merge_now_batch,"region: Nagano (region_lane) - Senjyo is a Nagano producer, so Nagano is a straightforward regional fill."
LGN0292EQ,,Riga,,geography_merge_now_batch,"region: Riga (region_lane) - Cross Keys is a Latvian gin brand tied to Riga, which is the safest regional reference."
LLQ0059AD,,Lower Saxony,,geography_merge_now_batch,region: Lower Saxony (region_lane) - Jagermeister is produced in Wolfenbuettel in Lower Saxony; Lower Saxony is the clearest region-level fill.
LLQ0293DG,,Cognac,,geography_merge_now_batch,region: Cognac (region_lane) - Pierre Ferrand is a Cognac house and Dry Curacao is anchored to that production base in Cognac.
LLQ0436EQ,,Riga,,geography_merge_now_batch,region: Riga (region_lane) - Riga Black Balsam is explicitly identified with Riga; region fill is direct and publish-safe.
LLQ0448EQ,,Moravia,,geography_merge_now_batch,region: Moravia (region_lane) - R. Jelinek is centered on Vizovice in Moravia; Moravia is the safest region-level fill.
