sku,sku_base,name,classification,wine_color,style,country,region,subregion,appellation,vintage,brand,grape_variety,wine_body,wine_acidity,wine_tannin,flavor_tags,food_matching,overall_confidence,desc_en_short,desc_en_full,bottle_size,price,validation_status,enrichment_priority,quality_score_total,score_completeness,score_description,score_taxonomy,score_consistency,score_enrichment,scope,missing_fields,issues
WWW4847AF,WWW4847,"Domaine De Baronaques  ""Chardonnay"" By Baron Phillippe De Rothschild",White Wine,,Chardonnay,France,,,,,Domaine De Baronaques,Chardonnay,,,,,"Lobster, Creamy Pasta, Roasted Chicken, Rich Fish",0.429,,,,2749,validated,2,41,13,5,15,5,3,wine,region; vintage; desc_en_short; desc_en_full; wine_body; wine_acidity; wine_tannin,"desc_en_short missing or too short (< 20 chars); desc_en_full missing or too short (< 100 chars); Missing region; Missing vintage for wine product; Missing flavor_tags; Missing wine dimensions: wine_body, wine_acidity, wine_tannin"
LOT0173AB,LOT0173,Kinmon Akita Plum Sake Shizuku (720 ml),Others,,,Japan,,,,,Kinmon Akita,,,,,"[""fruit""]",Dessert,1,"Umeshu that uses the popular Yamabuki Gold vintage sake as the base, this is an item that is deep in colour, aroma and flavour and
one can enjoy the complex sweetness balanced with the sourness of the plum.",,720 ml,1300,validated,2,44,13,5,15,5,6,wine,region; grape_variety; vintage; desc_en_full; wine_body; wine_acidity; wine_tannin,"desc_en_short too long (> 200 chars); desc_en_full missing or too short (< 100 chars); Missing region; Missing vintage for wine product; Missing wine dimensions: wine_body, wine_acidity, wine_tannin"
LOT0149FS,LOT0149,Hakutsuru  Umeshu Genshu (720 ml),Others,,,Japan,,,,,Umeshu,,,,low,"[""fruit""]",Dessert,1,"In-House brewed Umeshu with 100% Plum from Kishu. An undiluted plum wine being characterized for its richness, smooth and a well balance sweet & sour. No chemicals added. Very recommended for Umeshu’s lovers.",,,885,validated,2,47,16,5,15,5,6,wine,region; grape_variety; vintage; desc_en_full; wine_body; wine_acidity,"desc_en_short too long (> 200 chars); desc_en_full missing or too short (< 100 chars); Missing region; Missing vintage for wine product; Missing wine dimensions: wine_body, wine_acidity"
LOT0150FS,LOT0150,Hakutsuru  Umeshu Genshu (1.8 L),Others,,,Japan,,,,,Umeshu,,,,low,"[""fruit""]",Dessert,1,"In-House brewed Umeshu with 100% Plum from Kishu. An undiluted plum wine being characterized for its richness, smooth and a well balance sweet & sour. No chemicals added. Very recommended for Umeshu’s lovers.",,,1845,validated,2,47,16,5,15,5,6,wine,region; grape_variety; vintage; desc_en_full; wine_body; wine_acidity,"desc_en_short too long (> 200 chars); desc_en_full missing or too short (< 100 chars); Missing region; Missing vintage for wine product; Missing wine dimensions: wine_body, wine_acidity"
LOT0152FS,LOT0152,Hakutsuru  Nigori Yuzushu (720 ml),Others,,,Japan,,,,,Hakutsuru,,,medium,,"[""fruit""]",Dessert,1,"Yuzu, is Japanese fruit with the same specie as Lemon, was made using a whole Yuzu fruit with coarse filtered method in order to keep the Yuzu peel. Surprisingly well-balance of sweet & sour and refreshing aroma of Citrus",,,1075,validated,2,47,16,5,15,5,6,wine,region; grape_variety; vintage; desc_en_full; wine_body; wine_tannin,"desc_en_short too long (> 200 chars); desc_en_full missing or too short (< 100 chars); Missing region; Missing vintage for wine product; Missing wine dimensions: wine_body, wine_tannin"
WRW5548FT,WRW5548,Chateau Boyd-Cantenac  Margaux,Red Wine,,,France,Bordeaux,,Margaux,,Chateau Boyd-Cantenac,"Cabernet Sauvignon, Merlot",,,,,"Red Meat, Grilled Steak, Lamb, Hard Cheese, BBQ",0.386,,,,3609,validated,2,49,16,5,20,5,3,wine,vintage; desc_en_short; desc_en_full; wine_body; wine_acidity; wine_tannin,"desc_en_short missing or too short (< 20 chars); desc_en_full missing or too short (< 100 chars); Missing vintage for wine product; Missing flavor_tags; Missing wine dimensions: wine_body, wine_acidity, wine_tannin"
WRW5695FR,WRW5695,"Birchgrove  Bird'S Block Cuvee ""Inspiring Red"" (Fruit Wine)",Red Wine,,,Australia,South Eastern Australia,,,CURRENT VINTAGE,Birchgrove,,,,,,"Pasta, Pizza, Roasted Chicken, Pork, Medium Cheese",0.429,,,750 ml,320,needs_review,2,49,16,5,20,5,3,wine,grape_variety; desc_en_short; desc_en_full; wine_body; wine_acidity; wine_tannin,"desc_en_short missing or too short (< 20 chars); desc_en_full missing or too short (< 100 chars); Vintage not clean 4-digit year: ""CURRENT VINTAGE""; Missing flavor_tags; Missing wine dimensions: wine_body, wine_acidity, wine_tannin"
ABA0321CQ,ABA0321,Jiggers  Speed Shaker (weighted base) - 20oz,Accessories,,,,,,,,Jiggers  Speed Shaker (weighted base),,,,,,,0.82,-,"<div class=""prod-desc"">
<p>-</p>
</div>",,560,validated,2,50,26,0,10,10,4,accessories,desc_en_short,desc_en_short missing or too short (< 20 chars); desc_en_full missing or too short (< 100 chars); Contains placeholder text; Missing country; Missing region; Missing flavor_tags; Missing food_matching
LOT0155FS,LOT0155,Kunizakari  Kunizakari Umeshu (500 ml),Others,,,Japan,,,,,Umeshu,,,,,"[""fruit""]",,1,"Using Nanko Ume(Plum) 100% from Wakayama. 
With 100% plum taste and 8% of Alchol. 
Can be enjoyed straight, mixes with soda or water and on thr rock.",,,285,validated,2,51,13,15,15,5,3,wine,region; grape_variety; vintage; desc_en_full; wine_body; wine_acidity; wine_tannin,"desc_en_full missing or too short (< 100 chars); Missing region; Missing vintage for wine product; Missing food_matching; Missing wine dimensions: wine_body, wine_acidity, wine_tannin"
WEV0066GX,WEV0066,VIK 100 (p) Wine Dinner A Night Of Perfection @One11Club (Louis XIII and VIP Lounge) (30 October 2025),Events,,,,,,,2025,Vik,,,,,,,0.76,"<p><strong>Celebration VIK Winery's 100 Points Masterpiece by James Suckling</strong></p>
<p> </p>
<p><strong>30 October 2025</strong></p>
<p><strong>Reception 18:30-19:00</strong></p>
<p><strong>Fine dining experience 19:00-21:00</strong></p>
<p><strong>Location: One11Club (Louis XIII and VIP Lounge), 1st floor Gaysorn Village</strong></p>
<p><br /><strong>Highlight</strong></p>
<p>ภายในงาน<strong> Chef wine maker</strong> ของ <strong>VIK, Cristian Vallejo</strong> จะมาเมืองไทย ครั้งแรก !!! พร้อม ร่วมงาน <strong>VIK wine dinner</strong> พร้อม บรรยายในงาน เปิดตัว <strong>Campaign</strong> <strong>""Top spender""</strong> เผื่อคัดเลือกลูกค้าไปเยี่ยมไร่ไวน์ที่ชิลี พักโรงแรม 5 ดาว ในหุบเขาภายในไร่ไวน์ ของ <strong>VIK</strong> (คืนละ 45,000฿ ฟรี 2 คืน พร้อมกิจกรรมภายในไร่ไวน์ เช่น ขี่ม้า, etc)</p>
<p>นอกจากนั้น ผู้เข้าร่วมงานยังสามารถ ถ่ายรูปพร้อมลายเซ็นจาก <strong>Cristian Vallejo, Chef wine maker</strong> บนขวดไวน์ เผื่อเป็นที่ระลึกแห่งความทรงจำในค่ำคืนนั้นอีกด้วย !!!</p>
<p><em><strong>Mr. Cristian Vallejo เพิ่งได้รับรางวัล ""Master Winemakers Top 100"" จาก Drink Business</strong></em></p>
<p> </p>
<p><em><strong><img src=""https://th.wine-now.com/media/VIK_100_p_Wine_Dinner_A_Night_Of_Perfection_2.jpg"" alt="""" height=""auto"" /></strong></em></p>
<p> </p>","<div class=""prod-desc""><p><p><strong>Celebration VIK Winery's 100 Points Masterpiece by James Suckling</strong></p>
<p> </p>
<p><strong>30 October 2025</strong></p>
<p><strong>Reception 18:30-19:00</strong></p>
<p><strong>Fine dining experience 19:00-21:00</strong></p>
<p><strong>Location: One11Club (Louis XIII and VIP Lounge), 1st floor Gaysorn Village</strong></p>
<p><br /><strong>Highlight</strong></p>
<p>ภายในงาน<strong> Chef wine maker</strong> ของ <strong>VIK, Cristian Vallejo</strong> จะมาเมืองไทย ครั้งแรก !!! พร้อม ร่วมงาน <strong>VIK wine dinner</strong> พร้อม บรรยายในงาน เปิดตัว <strong>Campaign</strong> <strong>""Top spender""</strong> เผื่อคัดเลือกลูกค้าไปเยี่ยมไร่ไวน์ที่ชิลี พักโรงแรม 5 ดาว ในหุบเขาภายในไร่ไวน์ ของ <strong>VIK</strong> (คืนละ 45,000฿ ฟรี 2 คืน พร้อมกิจกรรมภายในไร่ไวน์ เช่น ขี่ม้า, etc)</p>
<p>นอกจากนั้น ผู้เข้าร่วมงานยังสามารถ ถ่ายรูปพร้อมลายเซ็นจาก <strong>Cristian Vallejo, Chef wine maker</strong> บนขวดไวน์ เผื่อเป็นที่ระลึกแห่งความทรงจำในค่ำคืนนั้นอีกด้วย !!!</p>
<p><em><strong>Mr. Cristian Vallejo เพิ่งได้รับรางวัล ""Master Winemakers Top 100"" จาก Drink Business</strong></em></p>
<p> </p>
<p><em><strong><img src=""https://th.wine-now.com/media/VIK_100_p_Wine_Dinner_A_Night_Of_Perfection_2.jpg"" alt="""" height=""auto"" /></strong></em></p>
<p> </p></p></div>",,7900,validated,2,51,16,15,10,10,0,wine,country; region; grape_variety; wine_body; wine_acidity; wine_tannin,"desc_en_short too long (> 200 chars); Missing country; Missing region; Missing flavor_tags; Missing food_matching; Missing wine dimensions: wine_body, wine_acidity, wine_tannin"
