sku,name,country,region,proposed_subregion,classification,current_subregion,gap_type,subregion_action_source,confidence,reasoning,lane_recommendation,priority_score,priority_rank,priority_reason,live_product_id,overall_confidence,validation_status
WRW4681AD,Penfolds  Bin 407,Australia,South Australia,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,508.00,132,GA rank #12 | subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3962-1774263062971,0.95,validated
WRW4677AD,Penfolds  Bin 8 Shiraz Cabernet,Australia,South Australia,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,494.00,133,GA rank #6 | subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion,row-3945-1774263062971,0.95,validated
WRW4683AD,Penfolds  Bin 389 Cabernet Sauvignon/Shiraz,Australia,South Australia,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,493.00,134,GA rank #7 | subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion,row-3964-1774263062971,0.95,validated
WRW5284AA,Cantine Leonardo Da Vinci   1502 Da Vinci in Romagna Sangiovese Appassimento,Italy,Tuscany,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,492.00,135,GA rank #8 | subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion,row-3013-1774263062966,0.85,validated
WSP5780AD,Dom Perignon 2015,France,Champagne,,Champagne,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,484.00,136,GA rank #36 | subregion gated gap | wine-like classification | high value | high confidence context | assessable wine subregion,row-3589-1774263062969,0.95,validated
WRW4291BU,Jacob's Creek  Classic Cabernet Sauvignon (750 ml),Australia,South Eastern Australia,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,479.00,137,GA rank #1 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-4779-1774263062977,0.95,validated
WSP1104BU,Moet & Chandon  Brut Imperial (750 ml),France,Champagne,,Champagne,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,479.00,138,GA rank #21 | subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion,row-1796-1774263062962,0.95,validated
WRW4679AD,Penfolds  Bin 2,Australia,Barossa Valley,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,478.00,139,GA rank #2 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-3940-1774263062971,0.95,validated
WRW0255AA,Baron Philippe de Rothschild  Mouton Cadet Bordeaux Rouge,France,Bordeaux,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,477.00,140,GA rank #3 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-2927-1774263062966,0.9,validated
WRW0617AA,Allegrini  Palazzo della Torre IGT,Italy,Veneto,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,477.00,141,GA rank #23 | subregion gated gap | wine-like classification | mid value | high confidence context | assessable wine subregion,row-3095-1774263062967,0.95,validated
WSP1117AD,Chandon  Brut,Australia,Victoria,,Sparkling Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,476.00,142,GA rank #4 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-3629-1774263062969,0.9,validated
WRW3191AD,"Vigneti del Salento  ""ZOLLA"" Primitivo Di Manduria DOC",Italy,Puglia,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,475.00,143,GA rank #5 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-3547-1774263062969,0.85,validated
WRW0244AA,Baron Philippe de Rothschild  Mapu Cabernet Sauvignon (Screw Cap),Chile,Maipo Valley,,Red Wine,,subregion,assess_wine_subregion,medium,"Wine product has country and region, but the live name and current fields do not expose a safe subregion directly enough for merge-now automation.",assess_later,470.00,144,GA rank #10 | subregion gated gap | wine-like classification | high confidence context | assessable wine subregion,row-2909-1774263062965,0.92,validated
