entity_type,entity_name,parent_country,parent_region,parent_subregion,classification_scope,product_count,segments_seen,source_basis,copy_status,description_short_en,description_full_en,notes
subregion,Agrigento,Italy,Sicily,,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Agrigento is a focused origin within Sicily, Italy, showing strongest representation in Red Wine.","Agrigento functions as a more precise place cue inside Sicily, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as Canicatti. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Alentejo,Portugal,Others region,,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Alentejo is a focused origin within Others region, Portugal, showing strongest representation in Red Wine.","Alentejo functions as a more precise place cue inside Others region, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as Herdade Do Peso. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Alexander Valley,USA,Sonoma,,,7,wine,catalog_and_taxonomy_rules,draft_ready,"Alexander Valley is a focused origin within Sonoma, USA, showing strongest representation in Red Wine and White Wine.","Alexander Valley functions as a more precise place cue inside Sonoma, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine and White Wine, and it appears repeatedly alongside brands such as Capture, Francis Coppola, and Layer Cake  Cabernet Sauvignon. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Alexander Valley,USA,Sonoma County,,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Alexander Valley is a focused origin within Sonoma County, USA, showing strongest representation in Red Wine.","Alexander Valley functions as a more precise place cue inside Sonoma County, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as Silver Oak. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Aloxe-Corton,France,Burgundy,,,6,wine,catalog_and_taxonomy_rules,draft_ready,"Aloxe-Corton is a focused origin within Burgundy, France, showing strongest representation in Red Wine and White Wine.","Aloxe-Corton functions as a more precise place cue inside Burgundy, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine and White Wine, and it appears repeatedly alongside brands such as Albert Bichot, Domaine Jean Fery & Fils, and Domaine Thibault Liger-Belair. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Alpera,Spain,Others region,,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Alpera is a focused origin within Others region, Spain, showing strongest representation in Red Wine.","Alpera functions as a more precise place cue inside Others region, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as Finca Fella. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Amarone,Italy,Veneto,,,36,"wine, spirits",catalog_and_taxonomy_rules,draft_ready,"Amarone is a focused origin within Veneto, Italy, showing strongest representation in Red Wine, Sparkling Wine, and Brandy.","Amarone functions as a more precise place cue inside Veneto, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, Sparkling Wine, and Brandy, and it appears repeatedly alongside brands such as Bertani, Bolla, and Le Salette. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Anjou,France,Loire,,,1,spirits,catalog_and_taxonomy_rules,draft_ready,"Anjou is a focused origin within Loire, France, showing strongest representation in Liqueur.","Anjou functions as a more precise place cue inside Loire, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Liqueur, and it appears repeatedly alongside brands such as Giffard. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Anjou,France,Loire valley,,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Anjou is a focused origin within Loire valley, France, showing strongest representation in Red Wine.","Anjou functions as a more precise place cue inside Loire valley, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as Chateau de la Roulerie. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Apalta,Chile,Casablanca Valley,,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Apalta is a focused origin within Casablanca Valley, Chile, showing strongest representation in Red Wine.","Apalta functions as a more precise place cue inside Casablanca Valley, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as Montes. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Aranjuez,Spain,Alicante,,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Aranjuez is a focused origin within Alicante, Spain, showing strongest representation in Red Wine.","Aranjuez functions as a more precise place cue inside Alicante, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as El Regajal. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Ascoli Piceno,Italy,Marche,,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Ascoli Piceno is a focused origin within Marche, Italy, showing strongest representation in Red Wine.","Ascoli Piceno functions as a more precise place cue inside Marche, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as Velenosi. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Asti,Italy,Piedmont,,,14,"wine, spirits",catalog_and_taxonomy_rules,draft_ready,"Asti is a focused origin within Piedmont, Italy, showing strongest representation in Red Wine, Sparkling Wine, and White Wine.","Asti functions as a more precise place cue inside Piedmont, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, Sparkling Wine, and White Wine, and it appears repeatedly alongside brands such as Braida, Fratelli Ponte, and Frangelico. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Aube,France,Champagne,,,2,wine,catalog_and_taxonomy_rules,draft_ready,"Aube is a focused origin within Champagne, France, showing strongest representation in Champagne.","Aube functions as a more precise place cue inside Champagne, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Champagne, and it appears repeatedly alongside brands such as La Maison du Champagne and Champagne Gremillet. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Aude,France,Languedoc,,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Aude is a focused origin within Languedoc, France, showing strongest representation in Red Wine.","Aude functions as a more precise place cue inside Languedoc, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as Domaines Barons de Rothschild. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Barbaresco,Italy,Piedmont,,,11,wine,catalog_and_taxonomy_rules,draft_ready,"Barbaresco is a focused origin within Piedmont, Italy, showing strongest representation in Red Wine.","Barbaresco functions as a more precise place cue inside Piedmont, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as Bera, Enzo Bartoli, and Valfieri. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Bardolino,Italy,Veneto,,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Bardolino is a focused origin within Veneto, Italy, showing strongest representation in Red Wine.","Bardolino functions as a more precise place cue inside Veneto, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as Botter. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Barolo,Italy,Piedmont,,,27,wine,catalog_and_taxonomy_rules,draft_ready,"Barolo is a focused origin within Piedmont, Italy, showing strongest representation in Red Wine and White Wine.","Barolo functions as a more precise place cue inside Piedmont, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine and White Wine, and it appears repeatedly alongside brands such as Paolo Scavino, Sandrone, and Massolino. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Barossa Valley,Australia,Barossa,,,2,wine,catalog_and_taxonomy_rules,draft_ready,"Barossa Valley is a focused origin within Barossa, Australia, showing strongest representation in Red Wine.","Barossa Valley functions as a more precise place cue inside Barossa, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as Rockford and The Standish. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Barrancas,Argentina,Mendoza,,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Barrancas is a focused origin within Mendoza, Argentina, showing strongest representation in Red Wine.","Barrancas functions as a more precise place cue inside Mendoza, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as Finca Flichman. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Beaujolais,France,Burgundy,,,18,wine,catalog_and_taxonomy_rules,draft_ready,"Beaujolais is a focused origin within Burgundy, France, showing strongest representation in Red Wine and White Wine.","Beaujolais functions as a more precise place cue inside Burgundy, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine and White Wine, and it appears repeatedly alongside brands such as Georges Duboeuf, Louis Jadot, and Joseph Drouhin. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Beaune,France,Burgundy,,,7,wine,catalog_and_taxonomy_rules,draft_ready,"Beaune is a focused origin within Burgundy, France, showing strongest representation in Red Wine.","Beaune functions as a more precise place cue inside Burgundy, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as Joseph Drouhin, Louis Jadot, and Benjamin Le-roux. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Benevento,Italy,Campania,,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Benevento is a focused origin within Campania, Italy, showing strongest representation in Red Wine.","Benevento functions as a more precise place cue inside Campania, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as Vesevo. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
subregion,Blaye,France,Bordeaux,,,3,wine,catalog_and_taxonomy_rules,draft_ready,"Blaye is a focused origin within Bordeaux, France, showing strongest representation in Red Wine.","Blaye functions as a more precise place cue inside Bordeaux, helping distinguish products that merit a stronger sense of origin. In the present assortment it is most closely tied to Red Wine, and it appears repeatedly alongside brands such as chateau Pericou and Château Les Gravettes. This makes the subregion especially valuable for premium copy, where origin detail often carries more weight than the broader regional label alone.",
