pack_type,canonical_name,parent_country,parent_region,scope,knowledge_short_en,knowledge_full_en,signature_varieties_or_styles,signature_regions_or_appellations,house_or_category_traits,use_cases,validation_status,confidence_level,source_basis,source_priority,source_urls,last_reviewed,notes
brand,Casillero del Diablo,Chile,,wine,"Casillero del Diablo is one of Chile's best-known wine brands, combining broad accessibility with a strong brand story and dependable varietal styles.","Casillero del Diablo became globally recognizable by pairing a memorable cellar legend with approachable, well-defined wines. The range spans key Chilean varieties such as Cabernet Sauvignon, Merlot, Carmenere, Chardonnay, and Sauvignon Blanc, usually in a smooth, fruit-forward style. It performs strongly as a dependable brand for everyday premium drinking. In retail, it is a major gateway into Chilean wine.","Cabernet Sauvignon, Merlot, Carmenere, Chardonnay, Sauvignon Blanc","Chile, Central Valley, Maipo","brand story, accessibility, varietal clarity","brand pages, Chilean wine guidance, entry-premium retail copy",expert_seed,A,expert_authored,official_brand,,2026-04-15,High-priority wine brand pack.
brand,Cointreau,France,,liqueur,"Cointreau is the benchmark orange liqueur, prized for bright citrus precision and its central role in classic cocktails.","Cointreau is one of the defining names in triple sec and orange liqueur. Its balance of sweetness, bitter orange freshness, and high aromatic clarity makes it essential in cocktails such as the Margarita, Sidecar, and Cosmopolitan. The style is clean rather than syrupy, which helps it bridge both mixing and premium sipping use. It remains a foundational brand in cocktail culture.","Orange Liqueur, Triple Sec",France,"citrus purity, brightness, cocktail centrality","brand pages, liqueur guidance, cocktail education",expert_seed,A,expert_authored,official_brand,,2026-04-15,High-priority cocktail brand pack.
brand,Frescobaldi,Italy,,wine,"Frescobaldi is one of Tuscany's historic wine dynasties, known for estate-led wines that balance heritage, clarity, and modern polish.","The Frescobaldi family has been involved in Tuscan wine for centuries and today manages a broad estate portfolio across some of the region's most important zones. The house style often emphasizes clarity of terroir, polished winemaking, and broad accessibility without losing regional character. The range spans Chianti, Montalcino, Bolgheri, and more. Frescobaldi remains a major reference point for modern premium Tuscany.","Chianti, Brunello, Cabernet blends, Tuscan estate wines","Tuscany, Chianti, Montalcino, Bolgheri","estate breadth, polish, Tuscan identity","brand pages, Tuscany context, producer-family storytelling",expert_seed,A,expert_authored,official_brand,,2026-04-15,High-priority wine brand pack.
brand,Giffard,France,,liqueur,"Giffard is a French specialist in liqueurs and syrups, valued for clean fruit expression and cocktail-friendly precision.","Giffard is one of the most trusted names in cocktail ingredients, with a portfolio spanning fruit liqueurs, creme styles, aperitifs, and syrups. The brand is respected for balancing aroma intensity with clarity and usability behind the bar. Fruit-led bottlings often emphasize freshness over heaviness, making them especially versatile in mixed drinks. It is a strong reference brand in modern cocktail retail.","Fruit Liqueur, Creme de Fruits, syrup range",France,"precision, fruit clarity, mixability","brand pages, cocktail ingredient guidance, liqueur taxonomy",expert_seed,A,expert_authored,official_brand,,2026-04-15,High-priority cocktail brand pack.
brand,Glenmorangie,Scotland,,whisky,"Glenmorangie is a Highland single malt house known for elegance, cask innovation, and a smooth, fruit-led style.","Glenmorangie is one of the defining names in Highland single malt Scotch and is especially associated with tall stills, refined spirit, and inventive cask finishing. Core bottlings often show citrus, stone fruit, vanilla, and gentle spice, while limited editions explore richer wine-cask influence. The brand balances accessibility with premium ambition. It remains a strong gateway into single malt for many drinkers.","Highland single malt, cask finish, fruit-led Scotch",Highland,"elegance, fruit, smoothness, cask innovation","brand pages, whisky education, product-family context",expert_seed,A,expert_authored,official_brand,,2026-04-15,High-priority whisky brand pack.
brand,Hennessy,France,,brandy,"Hennessy is the world's leading Cognac house, known for polished blends that range from VS to prestigious XO and beyond.","Founded in 1765, Hennessy is one of the most commercially important and recognizable names in Cognac. Its style is built on blending eaux-de-vie for consistency, texture, and broad appeal, with expressions ranging from VS and VSOP to XO and prestige bottlings. The house balances approachability with luxury positioning. In premium spirits retail, Hennessy is often the benchmark for mainstream Cognac recognition.","Cognac VS, Cognac VSOP, Cognac XO",Cognac,"blending precision, smoothness, luxury visibility","brand pages, Cognac guidance, gifting context",expert_seed,A,expert_authored,official_brand,,2026-04-15,High-priority brand pack.
brand,Jacob's Creek,Australia,,wine,"Jacob's Creek is one of Australia's most recognized wine brands, known for approachable varietal wines and broad everyday appeal.","Jacob's Creek helped define the export-friendly face of Australian wine through consistent, fruit-led styles across red, white, and sparkling categories. The brand is especially strong in varietal bottlings such as Shiraz, Cabernet Sauvignon, Chardonnay, and Sauvignon Blanc, alongside broader lifestyle ranges. It combines familiarity, clean winemaking, and strong commercial reach. For many drinkers, it is a starting point for Australian wine.","Shiraz, Cabernet Sauvignon, Chardonnay, Sauvignon Blanc, sparkling wine",South Australia,"consistency, approachability, varietal focus","brand pages, Australia context, everyday premium guidance",expert_seed,A,expert_authored,official_brand,,2026-04-15,High-priority wine brand pack.
brand,Laurent-Perrier,France,,champagne,"Laurent-Perrier is a leading Champagne house known for freshness, elegance, and a Chardonnay-influenced, fine-boned style.","Laurent-Perrier is widely respected for a house style that leans toward lift, precision, and freshness rather than sheer weight. La Cuvee, Cuvee Rose, and prestige releases such as Grand Siecle have helped define its premium identity. Chardonnay often plays an important structural role in the blends, alongside careful reserve wine management. The brand is especially strong where refinement and modern luxury positioning matter.","La Cuvee, Cuvee Rose, Grand Siecle",Champagne,"freshness, elegance, fine mousse, premium polish","brand pages, Champagne guidance, luxury retail content",expert_seed,A,expert_authored,official_brand,,2026-04-15,High-priority Champagne brand pack.
brand,Nikka,Japan,,whisky,"Nikka is one of Japan's most important whisky producers, known for polished blends, Coffey still whiskies, and a broad premium range.","Founded by Masataka Taketsuru, Nikka helped define Japanese whisky's modern identity. The portfolio spans blended styles, single malts, and the Coffey Grain and Coffey Malt expressions, which are especially valued for texture and sweetness. Nikka often combines precision with richness, making the range approachable without losing depth. It is a key brand in premium Japanese whisky retail.","Japanese whisky, Coffey Grain, Coffey Malt, blended whisky","Yoichi, Miyagikyo","precision, texture, balance, modern premium appeal","brand pages, Japanese whisky guidance, product-family context",expert_seed,A,expert_authored,official_brand,,2026-04-15,High-priority Japanese whisky brand pack.
brand,Paulaner,Germany,,beer,"Paulaner is one of Munich's great brewing names, best known for wheat beer, lager, and classic Bavarian brewing tradition.","Paulaner is deeply associated with Munich beer culture and remains one of Germany's best-known large breweries. Hefe-Weissbier is one of its strongest global signatures, but the range also covers Munich lager styles and seasonal specialties. The brand stands for consistency, approachability, and classic Bavarian identity. It is one of the easiest anchors for premium imported beer retail.","Hefe-Weissbier, lager, Oktoberfest beer","Munich, Bavaria","Bavarian tradition, consistency, accessibility","brand pages, beer category guidance, imported beer context",expert_seed,A,expert_authored,official_brand,,2026-04-15,High-priority beer brand pack.
