entity_type,entity_name,parent_country,parent_region,parent_subregion,classification_scope,product_count,segments_seen,source_basis,copy_status,description_short_en,description_full_en,notes
origin,Anguilla / Caribbean,Anguilla,Caribbean,,,1,spirits,catalog_and_taxonomy_rules,draft_ready,"Anguilla / Caribbean is used in the library as a commercial origin cue that helps connect country, region, and product identity.","Anguilla / Caribbean acts as a structured origin label inside the product library, helping organize products by place when that place is commercially meaningful. In the current catalog it sits across Rum and supports clearer discovery, filtering, and premium storytelling. This description is intentionally neutral and operational so it can serve as a reusable taxonomy note across product pages and internal data views.",Derived from country/region/subregion because origin is sparsely populated in the current database.
origin,Argentina / Mendoza,Argentina,Mendoza,,,165,wine,catalog_and_taxonomy_rules,draft_ready,"Argentina / Mendoza is used in the library as a commercial origin cue that helps connect country, region, and product identity.","Argentina / Mendoza acts as a structured origin label inside the product library, helping organize products by place when that place is commercially meaningful. In the current catalog it sits across Red Wine, White Wine, and Rose Wine and supports clearer discovery, filtering, and premium storytelling. This description is intentionally neutral and operational so it can serve as a reusable taxonomy note across product pages and internal data views.",Derived from country/region/subregion because origin is sparsely populated in the current database.
origin,Argentina / Mendoza / Barrancas,Argentina,Mendoza,Barrancas,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Argentina / Mendoza / Barrancas is used in the library as a commercial origin cue that helps connect country, region, and product identity.","Argentina / Mendoza / Barrancas acts as a structured origin label inside the product library, helping organize products by place when that place is commercially meaningful. In the current catalog it sits across Red Wine and supports clearer discovery, filtering, and premium storytelling. This description is intentionally neutral and operational so it can serve as a reusable taxonomy note across product pages and internal data views.",Derived from country/region/subregion because origin is sparsely populated in the current database.
origin,Argentina / Mendoza / Luján de Cuyo,Argentina,Mendoza,Luján de Cuyo,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Argentina / Mendoza / Luján de Cuyo is used in the library as a commercial origin cue that helps connect country, region, and product identity.","Argentina / Mendoza / Luján de Cuyo acts as a structured origin label inside the product library, helping organize products by place when that place is commercially meaningful. In the current catalog it sits across Red Wine and supports clearer discovery, filtering, and premium storytelling. This description is intentionally neutral and operational so it can serve as a reusable taxonomy note across product pages and internal data views.",Derived from country/region/subregion because origin is sparsely populated in the current database.
origin,Argentina / Mendoza / Luján de Cuyo / Valle de Uco,Argentina,Mendoza,Luján de Cuyo / Valle de Uco,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Argentina / Mendoza / Luján de Cuyo / Valle de Uco is used in the library as a commercial origin cue that helps connect country, region, and product identity.","Argentina / Mendoza / Luján de Cuyo / Valle de Uco acts as a structured origin label inside the product library, helping organize products by place when that place is commercially meaningful. In the current catalog it sits across Red Wine and supports clearer discovery, filtering, and premium storytelling. This description is intentionally neutral and operational so it can serve as a reusable taxonomy note across product pages and internal data views.",Derived from country/region/subregion because origin is sparsely populated in the current database.
origin,Argentina / Mendoza / Maipú,Argentina,Mendoza,Maipú,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Argentina / Mendoza / Maipú is used in the library as a commercial origin cue that helps connect country, region, and product identity.","Argentina / Mendoza / Maipú acts as a structured origin label inside the product library, helping organize products by place when that place is commercially meaningful. In the current catalog it sits across Red Wine and supports clearer discovery, filtering, and premium storytelling. This description is intentionally neutral and operational so it can serve as a reusable taxonomy note across product pages and internal data views.",Derived from country/region/subregion because origin is sparsely populated in the current database.
origin,Argentina / Mendoza / Uco Valley,Argentina,Mendoza,Uco Valley,,2,wine,catalog_and_taxonomy_rules,draft_ready,"Argentina / Mendoza / Uco Valley is used in the library as a commercial origin cue that helps connect country, region, and product identity.","Argentina / Mendoza / Uco Valley acts as a structured origin label inside the product library, helping organize products by place when that place is commercially meaningful. In the current catalog it sits across Red Wine and supports clearer discovery, filtering, and premium storytelling. This description is intentionally neutral and operational so it can serve as a reusable taxonomy note across product pages and internal data views.",Derived from country/region/subregion because origin is sparsely populated in the current database.
origin,Argentina / Mendoza / Valle de Uco,Argentina,Mendoza,Valle de Uco,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Argentina / Mendoza / Valle de Uco is used in the library as a commercial origin cue that helps connect country, region, and product identity.","Argentina / Mendoza / Valle de Uco acts as a structured origin label inside the product library, helping organize products by place when that place is commercially meaningful. In the current catalog it sits across Red Wine and supports clearer discovery, filtering, and premium storytelling. This description is intentionally neutral and operational so it can serve as a reusable taxonomy note across product pages and internal data views.",Derived from country/region/subregion because origin is sparsely populated in the current database.
origin,Argentina / Others region,Argentina,Others region,,,3,wine,catalog_and_taxonomy_rules,draft_ready,"Argentina / Others region is used in the library as a commercial origin cue that helps connect country, region, and product identity.","Argentina / Others region acts as a structured origin label inside the product library, helping organize products by place when that place is commercially meaningful. In the current catalog it sits across White Wine and Red Wine and supports clearer discovery, filtering, and premium storytelling. This description is intentionally neutral and operational so it can serve as a reusable taxonomy note across product pages and internal data views.",Derived from country/region/subregion because origin is sparsely populated in the current database.
origin,Argentina / Uco Valley,Argentina,Uco Valley,,,1,wine,catalog_and_taxonomy_rules,draft_ready,"Argentina / Uco Valley is used in the library as a commercial origin cue that helps connect country, region, and product identity.","Argentina / Uco Valley acts as a structured origin label inside the product library, helping organize products by place when that place is commercially meaningful. In the current catalog it sits across Red Wine and supports clearer discovery, filtering, and premium storytelling. This description is intentionally neutral and operational so it can serve as a reusable taxonomy note across product pages and internal data views.",Derived from country/region/subregion because origin is sparsely populated in the current database.
