site,trend_rank,trend_type,reference_name,page_path,pageviews,users,suggested_app_entity_type,suggested_app_entity_name,matched_entity_type,matched_entity_name,mapping_status,mapping_confidence,trend_score,trend_band,mapping_reason
Wine-Now,1,category,Red Wine Category,/wine/red-wine.html,1577,518,classification,Red Wine Category,classification,Red Wine,mapped_exact,high,1848.66,critical,Website category normalized to existing classification taxonomy.
Wine-Now,2,hub,Wine Category,/wine.html,1336,491,navigation_hub,Wine Category,,,reference_only,medium,1434.2,critical,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,3,hub,All brands,/brands,426,254,navigation_hub,All brands,,,reference_only,medium,476.8,critical,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
Wine-Now,4,category,White Wine Category,/wine/white-wine.html,395,141,classification,White Wine Category,classification,White Wine,mapped_exact,high,465.52,critical,Website category normalized to existing classification taxonomy.
Wine-Now,5,collection,Best Sellers Right Now,/recommend/special-of-the-week.html,338,188,collection_theme,Best Sellers Right Now,,,reference_only,medium,375.6,critical,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
LIQ9,6,category,Single Malt Whisky Category,/whisky/the-single-malt-whisky.html,262,47,classification,Single Malt Whisky Category,,,unmapped,low,298.54,critical,Needs manual taxonomy decision.
Wine-Now,7,category,Sparkling Wine Category,/wine/sparkling-wine.html,232,103,classification,Sparkling Wine Category,classification,Sparkling Wine,mapped_exact,high,277.86,critical,Website category normalized to existing classification taxonomy.
Wine-Now,8,category,Champagne Category,/wine/champagne-wine.html,224,110,classification,Champagne Category,classification,Champagne,mapped_exact,high,270.6,critical,Website category normalized to existing classification taxonomy.
LIQ9,9,category,Brandy Category,/liquor/brandy.html,216,45,classification,Brandy Category,classification,Brandy,mapped_exact,high,247.5,critical,Website category normalized to existing classification taxonomy.
LIQ9,10,collection,Special of the Month,/recommend/special-of-the-month-liq9.html,197,30,collection_theme,Special of the Month,,,reference_only,medium,203.0,critical,"Website hub/collection should guide priority and landing copy, not be forced into canonical taxonomy."
