priority_rank,sku,name,source_files,task_types,classification,country,region,producer_inferred,category_bucket,has_live_record,ga_product_rank,ga_brand_rank,ga_taxonomy_rank,producer_repeat_count,task_count,priority_band,score,why_now
1,LOT0071AR,Komasa Jyozo  Akazaru Sparkling (300 ml),"ai_research_flavor_t5.txt, ai_research_grape_t5.txt, ai_research_region_t5.txt","flavor, grape, region",Sparkling Wine,Japan,,Komasa Jyozo,sparkling_wine,yes,,,,6,3,publish_fast_lane,90,live Product Engine record; repeated producer (6 SKUs); appears in 3 task queues; strong producer reuse; high-frequency country
2,WSP5665AA,Penfolds  Champagne Rose Thienot x Penfolds,ai_research_flavor_t2.txt,flavor,Champagne,France,Champagne,Penfolds Champagne,sparkling_wine,yes,,1,,2,1,ga_brand_cluster,89,live Product Engine record; top GA brand rank #1; current priority TXT file; high-frequency country
3,WWW2401AD,Penfolds  Max's Chardonnay,ai_research_flavor_t2.txt,flavor,White Wine,Australia,South Australia,Penfolds Max's,wine,yes,,1,,2,1,ga_brand_cluster,89,live Product Engine record; top GA brand rank #1; current priority TXT file; high-frequency country
4,WSP2585BU,Dom Perignon  P2 2004,"ai_research_grape_t5.txt, ai_research_region_t5.txt","grape, region",Orange Wine,France,,Dom Perignon,wine,yes,,34,,7,2,publish_fast_lane,85,live Product Engine record; top GA brand rank #34; repeated producer (7 SKUs); appears in 2 task queues; strong producer reuse; high-frequency country
5,WSP5777AD,Penfolds  Champagne Cuvee Brut,ai_research_flavor_t3.txt,flavor,Champagne,France,Champagne,Penfolds Champagne,sparkling_wine,yes,,1,,2,1,ga_brand_cluster,75,live Product Engine record; top GA brand rank #1; high-frequency country
6,WRW0571AA,"Velenosi  Breciarolo Gold, Rosso Piceno Superiore DOC","ai_research_flavor_t5.txt, ai_research_region_t5.txt","flavor, region",Red Wine,Italy,,Velenosi Breciarolo,wine,yes,,17,,1,2,publish_fast_lane,74,live Product Engine record; top GA brand rank #17; appears in 2 task queues; high-frequency country
7,WRW5779AA,Penfolds  II Dourthe Cabernet Shiraz,ai_research_flavor_t3.txt,flavor,Red Wine,Australia,Bordeaux,Penfolds II,wine,yes,,1,,1,1,ga_brand_cluster,74,live Product Engine record; top GA brand rank #1; high-frequency country
10,WRW6618AA,"Baron Philippe de Rothschild  Mouton Cadet Bordeaux Rouge Bio ""Pierre""",ai_research_flavor_t3.txt,flavor,Red Wine,France,Bordeaux,Baron Philippe de Rothschild Mouton Cadet Bordeaux Rouge Bio,wine,yes,,5,,1,1,ga_brand_cluster,70,live Product Engine record; top GA brand rank #5; high-frequency country
11,WWW5149AA,Baron Philippe de Rothschild  Mouton Cadet Reserve Sauternes,ai_research_grape_t2.txt,grape,Dessert Wine,France,Bordeaux,Baron Philippe,wine,yes,,5,,1,1,ga_brand_cluster,70,live Product Engine record; top GA brand rank #5; high-frequency country
12,WWW5423AA,"Baron Philippe de Rothschild  Mouton Cadet Bordeaux Blanc BIO ""Nathan""",ai_research_flavor_t3.txt,flavor,White Wine,France,Bordeaux,Baron Philippe de Rothschild Mouton Cadet Bordeaux Blanc BIO,wine,yes,,5,,1,1,ga_brand_cluster,70,live Product Engine record; top GA brand rank #5; high-frequency country
