scope,key,severity,issue_type,details,recommendation
product,LBD0226BU,medium,length_violation_short,Short description is 172 characters.,Tighten the lead sentence and keep the story hook concise.
product,LBD0238BU,medium,length_violation_short,Short description is 167 characters.,Tighten the lead sentence and keep the story hook concise.
product,LBE0286AB,medium,length_violation_short,Short description is 165 characters.,Tighten the lead sentence and keep the story hook concise.
product,LBE0317AB,medium,length_violation_short,Short description is 153 characters.,Tighten the lead sentence and keep the story hook concise.
product,LGN0316DG,medium,length_violation_short,Short description is 151 characters.,Tighten the lead sentence and keep the story hook concise.
product,LGN0374AE,medium,length_violation_full,Full description is 525 characters.,Trim repetition and keep the product narrative within the target band.
product,LGN0380AE,medium,length_violation_short,Short description is 151 characters.,Tighten the lead sentence and keep the story hook concise.
product,LGP0005AA,medium,length_violation_short,Short description is 167 characters.,Tighten the lead sentence and keep the story hook concise.
product,LGP0005AA,medium,length_violation_full,Full description is 503 characters.,Trim repetition and keep the product narrative within the target band.
product,LLQ0063CN,medium,length_violation_short,Short description is 168 characters.,Tighten the lead sentence and keep the story hook concise.
product,LLQ0247CN,medium,length_violation_short,Short description is 170 characters.,Tighten the lead sentence and keep the story hook concise.
product,LLQ0267AE,medium,length_violation_short,Short description is 159 characters.,Tighten the lead sentence and keep the story hook concise.
product,LLQ0468BU,medium,length_violation_short,Short description is 160 characters.,Tighten the lead sentence and keep the story hook concise.
product,LLQ0480CN,medium,length_violation_short,Short description is 173 characters.,Tighten the lead sentence and keep the story hook concise.
product,LLQ0487ER,medium,length_violation_short,Short description is 199 characters.,Tighten the lead sentence and keep the story hook concise.
product,LLQ0487ER,medium,length_violation_full,Full description is 615 characters.,Trim repetition and keep the product narrative within the target band.
product,LLQ0495CN,medium,length_violation_short,Short description is 175 characters.,Tighten the lead sentence and keep the story hook concise.
product,LLQ0495CN,medium,length_violation_full,Full description is 540 characters.,Trim repetition and keep the product narrative within the target band.
product,LLQ0500GW,medium,length_violation_short,Short description is 165 characters.,Tighten the lead sentence and keep the story hook concise.
product,LOT0038AB,medium,length_violation_short,Short description is 167 characters.,Tighten the lead sentence and keep the story hook concise.
product,LOT0038AB,medium,length_violation_full,Full description is 580 characters.,Trim repetition and keep the product narrative within the target band.
product,LOT0085AR,medium,length_violation_short,Short description is 154 characters.,Tighten the lead sentence and keep the story hook concise.
product,LOT0085AR,medium,length_violation_full,Full description is 539 characters.,Trim repetition and keep the product narrative within the target band.
product,LOT0086AR,medium,length_violation_short,Short description is 180 characters.,Tighten the lead sentence and keep the story hook concise.
