supplier_code,supplier_name,supplier_detail,pricing_structure,drive_supplier_folder_name,master_sku_count,avg_margin_pct_2026,sales_qty_2026,price_source_priority,cost_basis,cost_calculation_type,base_markup_pct,target_margin_pct,fixed_margin_thb,rounding_rule,rsp_policy,rebate_type,rebate_pct,rebate_amount_thb,volume_rebate_rule,cash_discount_pct,payment_terms,effective_from,effective_to,approval_status,approved_by_role,notes
AA,Italasia Head Office,Italasia Head Office (-30%),rsp_price,Italasia (Update),917,34.63,326,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AA2,Italasia,Italasia (Spirits) (-15%),rsp_price,Italasia (Update),917,34.63,326,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AA4,Italasia,Italasia (Premium Wine) (-15%),rsp_price,Italasia (Update),917,34.63,326,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AB,BB&B,BB&B (Wine) (-15%),no_rsp_price,BB&B,1211,19.05,267,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AB2,BB&B,BB&B (Liquor) (-10%),no_rsp_price,BB&B,1211,19.05,267,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AB3,BB&B,BB&B (Glassware),no_rsp_price,BB&B,1211,19.05,267,formula_only,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,ignore_rsp_or_not_provided,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AC,Universal Fine Wine & Spirit,Universal Fine Wine & Spirit,rsp_price,Universal Wine (Update),426,18.79,227,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AC2,"EU Wine Co.,Ltd.","EU Wine Co.,Ltd.",rsp_price,EU Wine,426,18.79,227,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AD,IWS,IWS,rsp_price,IWS (Update RSP / waiting Pricelist),715,22.55,846,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
AE,Gfour,Gfour,rsp_price,Gfour,403,23.33,214,supplier_rsp_then_formula,supplier_cost_or_wholesale,define_later,,,,round_to_nearest_5_or_9_define_later,use_supplier_rsp_if_agreed,none_or_define_later,,,,,,,,draft,product_admin,"Fill trade term, formula, rebate, and special agreement before automated price approval."
