sku,sku_base,name,classification,wine_color,style,country,region,subregion,appellation,vintage,brand,grape_variety,wine_body,wine_acidity,wine_tannin,flavor_tags,food_matching,overall_confidence,desc_en_short,bottle_size,price,validation_status,enrichment_priority
ABA0037BM,ABA0037,Metrokane  Rabbit Wine Preserver W/2 Stoppers - Chrome,Accessories,,,,,,,,Metrokane  Rabbit Wine Preserver W/2 Stoppers,,,,,,,0.88,"If you don’t finish the bottle, save the wine! Effortlessly preserve the taste of your next bottle of wine with the Rabbit® Wine Preserver. The Push Button Stoppers create a seal when used when the Vacuum Pump, removing the air from the bottle. This prevents the wine from oxidizing, preserving your wine and allowing you to enjoy another day!",,795,validated,3
ABA0064BM,ABA0064,Rabbit  Aerating Pourer,Accessories,,,,,,,,Rabbit,,,,,,,0.88,"You don’t need a decanter. You don’t need a separate aerator (so awkward to hold above the glass as you pour). Simply insert the Rabbit Aerating Pourer into a wine bottle as you would a conventional pourer. When you pour the wine, you see and hear aeration happening. When you taste it, you enjoy the enhanced flavor and bouquet of perfectly aerated red wine. The Rabbit Aerating pourer is the first easy, uncomplicated way to aerate wine.",,895,validated,3
ABA0188CQ,ABA0188,Jiggers  1 Litre Save n Serve Classic (Set of 6 piece),Accessories,,,,,,,,Jiggers  1,,,,,,,0.328,,,1340,validated,3
ABA0286CQ,ABA0286,Jiggers  Premium Julep Strainer,Accessories,,,,,,,,Jiggers,,,,,,,0.748,-,,580,validated,3
ABA0319BM,ABA0319,Zebag  6 Bottles (Red Color),Accessories,,,,,,,,Zebag,,,,,,,0.88,"This designer bag is the ultimate when paying a visit to your favorite wine merchant or for carrying bottles from your own cellar. It is a versatile companion for weekend breaks, boat trips or picnics. And become a stylish gift presentation when offering wine to friends.",,2490,validated,3
ABA0508BM,ABA0508,Koala  Vacuum Pump & 2 Stoppers,Accessories,,,USA,,,,,Koala,,,medium,,,,0.892,"Stainless steel vacuum pump in more durable, keeps the wine fresh for more time and preserves the aromas and flavors up to 10 days. 2 Reusable Wine Stoppers that are adapted to the bottles of wine.",,795,validated,3
ABA0509BM,ABA0509,Koala  Set Wine Lovers - Gold,Accessories,,,,,,,,Koala  Set Wine Lovers,,,,,,,0.88,Double support system with 7 positions. Ergonomic and easy to use. Integrated bottle opener and capsule cutter.,,1090,validated,3
ABA0538CQ,ABA0538,Jiggers  Trident Bar Spoon,Accessories,,,,,,,,Jiggers,,,,,,,0.832,This trident bar spoon is both eye catching and a great addition to your bar tools. Its light and easy to stir plus the fork end comes in very handy.,,740,validated,3
ABA0540CQ,ABA0540,Jiggers  Euro Large Hawthorne with 2 Ears,Accessories,,,,,,,,Jiggers,,,,,,,0.832,"Commonly known as an Italian or Euro strainer, this two eared strainer is a heavyweight. Its just the right size to fit a standard boston shaker and old school bartenders love it.",,640,validated,3
ABA0562BM,ABA0562,Final Touch  Hole-in-One Golf Tumbler (350 ml) (Set of 2),Accessories,,,,,,,,Final Touch,,,,,,,0.88,"<p>Cheer on your favourite team with the perfect tumbler! Whiskey, spirits or sodas&hellip;.and so much more!</p>
<ul>
<li>The perfect size for large ice cubes</li>
<li>Non-slip base is made of BPA-free food-grade silicone and doubles as a coaster</li>
<li>Liquid Glow Enhancer: The inside bottom of each glass is reflective to bring out the true colour of your spirit</li>
<li>Includes 2 glasses - each glass holds up to 12 oz (350 ml)</li>
</ul>",,1190,validated,3
ABA0657AB,ABA0657,Coravin   Timeless Six + Burgundy,Accessories,,,USA,Burgundy,,,,Coravin,,,,,"[""mineral""]",,1.0,,,20720,validated,3
ABA0660FW,ABA0660,The 4 Barmen  Cobbler Shaker 3 Piece Set (Mirrored Bronze) (500 ml),Accessories,,,,,,,,The 4 Barmen,,,,,,,0.765,"The 4 Barmen Cobbler Shaker in Mirrored Bronze is a complete 3-piece cocktail shaker set — shaker tin, strainer cap, and built-in pour spout — combining professional function with a warm, polished aesthetic perfect for any home bar.",,639,validated,3
