entity_type,entity_name,parent_country,parent_region,parent_subregion,classification_scope,product_count,segments_seen,source_basis,copy_status,description_short_en,description_full_en,notes
producer,"""Tormaresca"" By",Italy,,,wine,3,wine,producer_evidence_library,workflow_draft,"""Tormaresca"" By is an inferred producer grouping used to organize recurring items in the enrichment workflow.","""Tormaresca"" By is currently tracked as a producer-level entity within the enrichment library so related SKUs can share story fragments, house-style cues, and validation logic. The current grouping covers 3 queued items, primarily across wine. This entry is intentionally marked as a workflow draft: it provides professional placeholder copy for internal data use, while the final producer narrative should be upgraded with official producer history and house-style evidence when available.",ai_research_flavor_t5.txt
producer,1864 Cabernet,Australia,,,wine,1,wine,producer_evidence_library,workflow_draft,1864 Cabernet is an inferred producer grouping used to organize recurring items in the enrichment workflow.,"1864 Cabernet is currently tracked as a producer-level entity within the enrichment library so related SKUs can share story fragments, house-style cues, and validation logic. The current grouping covers 1 queued items, primarily across wine. This entry is intentionally marked as a workflow draft: it provides professional placeholder copy for internal data use, while the final producer narrative should be upgraded with official producer history and house-style evidence when available.",ai_research_flavor_t5.txt
producer,19 Crimes,Australia,,,sparkling_wine,1,sparkling_wine,producer_evidence_library,workflow_draft,19 Crimes is an inferred producer grouping used to organize recurring items in the enrichment workflow.,"19 Crimes is currently tracked as a producer-level entity within the enrichment library so related SKUs can share story fragments, house-style cues, and validation logic. The current grouping covers 1 queued items, primarily across sparkling_wine. This entry is intentionally marked as a workflow draft: it provides professional placeholder copy for internal data use, while the final producer narrative should be upgraded with official producer history and house-style evidence when available.",ai_research_grape_t2.txt
producer,1st Night,New Zealand,,,wine,1,wine,producer_evidence_library,workflow_draft,1st Night is an inferred producer grouping used to organize recurring items in the enrichment workflow.,"1st Night is currently tracked as a producer-level entity within the enrichment library so related SKUs can share story fragments, house-style cues, and validation logic. The current grouping covers 1 queued items, primarily across wine. This entry is intentionally marked as a workflow draft: it provides professional placeholder copy for internal data use, while the final producer narrative should be upgraded with official producer history and house-style evidence when available.",ai_research_grape_t5.txt
producer,7 Cascine,Italy,,,wine,2,wine,producer_evidence_library,workflow_draft,7 Cascine is an inferred producer grouping used to organize recurring items in the enrichment workflow.,"7 Cascine is currently tracked as a producer-level entity within the enrichment library so related SKUs can share story fragments, house-style cues, and validation logic. The current grouping covers 2 queued items, primarily across wine. This entry is intentionally marked as a workflow draft: it provides professional placeholder copy for internal data use, while the final producer narrative should be upgraded with official producer history and house-style evidence when available.","ai_research_flavor_t2.txt, ai_research_flavor_t5.txt"
producer,888 Tres,Mexico,,,other,1,other,producer_evidence_library,workflow_draft,888 Tres is an inferred producer grouping used to organize recurring items in the enrichment workflow.,"888 Tres is currently tracked as a producer-level entity within the enrichment library so related SKUs can share story fragments, house-style cues, and validation logic. The current grouping covers 1 queued items, primarily across other. This entry is intentionally marked as a workflow draft: it provides professional placeholder copy for internal data use, while the final producer narrative should be upgraded with official producer history and house-style evidence when available.",ai_research_flavor_t5.txt
producer,Abbadia Ardenga,Italy,,,wine,3,wine,producer_evidence_library,workflow_draft,Abbadia Ardenga is an inferred producer grouping used to organize recurring items in the enrichment workflow.,"Abbadia Ardenga is currently tracked as a producer-level entity within the enrichment library so related SKUs can share story fragments, house-style cues, and validation logic. The current grouping covers 3 queued items, primarily across wine. This entry is intentionally marked as a workflow draft: it provides professional placeholder copy for internal data use, while the final producer narrative should be upgraded with official producer history and house-style evidence when available.",ai_research_flavor_t5.txt
producer,Abelha Silver,Brazil,,,wine,1,wine,producer_evidence_library,workflow_draft,Abelha Silver is an inferred producer grouping used to organize recurring items in the enrichment workflow.,"Abelha Silver is currently tracked as a producer-level entity within the enrichment library so related SKUs can share story fragments, house-style cues, and validation logic. The current grouping covers 1 queued items, primarily across wine. This entry is intentionally marked as a workflow draft: it provides professional placeholder copy for internal data use, while the final producer narrative should be upgraded with official producer history and house-style evidence when available.",ai_research_flavor_t5.txt
producer,Absolut Elyx,Sweden,,,other,2,other,producer_evidence_library,workflow_draft,Absolut Elyx is an inferred producer grouping used to organize recurring items in the enrichment workflow.,"Absolut Elyx is currently tracked as a producer-level entity within the enrichment library so related SKUs can share story fragments, house-style cues, and validation logic. The current grouping covers 2 queued items, primarily across other. This entry is intentionally marked as a workflow draft: it provides professional placeholder copy for internal data use, while the final producer narrative should be upgraded with official producer history and house-style evidence when available.","ai_research_flavor_t3.txt, ai_research_flavor_t5.txt"
producer,Absolut Rainbow,Sweden,,,other,1,other,producer_evidence_library,workflow_draft,Absolut Rainbow is an inferred producer grouping used to organize recurring items in the enrichment workflow.,"Absolut Rainbow is currently tracked as a producer-level entity within the enrichment library so related SKUs can share story fragments, house-style cues, and validation logic. The current grouping covers 1 queued items, primarily across other. This entry is intentionally marked as a workflow draft: it provides professional placeholder copy for internal data use, while the final producer narrative should be upgraded with official producer history and house-style evidence when available.",ai_research_flavor_t5.txt
